"","week","time","tree","plot","site","species","water_potential","lwc_mean","lma_g_cm2","lwa_g_cm2_new","ldmc","alas_cm2_per_mm2","lwa_g_cm2","swc_per_dry_g_mean","rwc","date_wp","week_alas_link","time_season","lwc"
"1",14,"pd","1478","Low","Cucu Mesa","blue oak",-0.5714,1.74375600384246,0.00888836508159265,0.0207834971333507,0.159975623013999,31.7224626182239,0.0154991399753709,1.3074871404077,133.366971647516,2022-04-04,14,"before leafout",1.74375600384246
"2",14,"pd","1478","Low","Cucu Mesa","blue oak",-0.5714,1.74375600384246,0.00888836508159265,0.0207834971333507,0.137887336658173,31.7224626182239,0.0154991399753709,1.5917508971985,112.401898863818,2022-04-04,14,"before leafout",1.74375600384246
"3",15,"md","1478","Low","Cucu Mesa","blue oak",-1.6904,1.04427438938879,0.00888836508159265,0.0127585181003239,0.137887336658173,31.7224626182239,0.00928189201824476,1.5917508971985,67.313559949617,2022-04-13,14,"before leafout",1.04427438938879
"4",15,"md","1478","Low","Cucu Mesa","blue oak",-1.6904,1.04427438938879,0.00888836508159265,0.0127585181003239,0.159975623013999,31.7224626182239,0.00928189201824476,1.3074871404077,79.8688076628547,2022-04-13,14,"before leafout",1.04427438938879
"5",17,"md","1478","Low","Cucu Mesa","blue oak",-2.221,1.0197904540163,0.0138410276835499,0.0124406748884192,NA,13.2166152856384,0.0141149479054596,NA,NA,2022-04-25,17,"before leafout",1.0197904540163
"6",17,"pd","1478","Low","Cucu Mesa","blue oak",-0.903,1.0767414403778,0.0138410276835499,0.014215584930481,NA,13.2166152856384,0.0149032080842946,NA,NA,2022-04-25,17,"before leafout",1.0767414403778
"7",19,"md","1478","Low","Cucu Mesa","blue oak",-2.535,0.880322679464924,NA,0.0135791331267906,NA,NA,NA,1.4207899414765,63.2981195147683,2022-05-09,21,"after leafout",0.880322679464924
"8",19,"md","1478","Low","Cucu Mesa","blue oak",-2.535,0.880322679464924,NA,0.0135791331267906,NA,NA,NA,1.11212055194809,79.1571271588203,2022-05-09,21,"after leafout",0.880322679464924
"9",21,"md","1478","Low","Cucu Mesa","blue oak",-3.9875,0.667808219178082,NA,0.0105201984218671,NA,NA,NA,0.920103955630009,72.5796487551044,2022-05-23,21,"after leafout",0.667808219178082
"10",21,"md","1478","Low","Cucu Mesa","blue oak",-3.9875,0.667808219178082,NA,0.0105201984218671,NA,NA,NA,1.23704910908301,53.9839699390034,2022-05-23,21,"after leafout",0.667808219178082
"11",21,"pd","1478","Low","Cucu Mesa","blue oak",-1.55266666666667,0.846251790545917,NA,0.013162087690664,NA,NA,NA,1.23704910908301,68.408908290894,2022-05-23,21,"after leafout",0.846251790545917
"12",21,"pd","1478","Low","Cucu Mesa","blue oak",-1.55266666666667,0.846251790545917,NA,0.013162087690664,NA,NA,NA,0.920103955630009,91.9734977083622,2022-05-23,21,"after leafout",0.846251790545917
"13",29,"md","1478","Low","Cucu Mesa","blue oak",-4.13333333333333,0.585769230769231,0.0159442582595795,0.00997222403308447,NA,11.1917313756747,0.00933965589589986,NA,NA,2022-07-19,29,"after leafout",0.585769230769231
"14",37,"md","1478","Low","Cucu Mesa","blue oak",-4.073,0.61517094017094,0.0191562279024577,0.0100224892875616,0.326361906485926,15.7390360146272,0.0117843547288837,1.06420376345173,57.9472393488183,2022-09-15,37,"after leafout",0.61517094017094
"15",37,"md","1478","Low","Cucu Mesa","blue oak",-4.073,0.61517094017094,0.0191562279024577,0.0100224892875616,0.362301857662189,15.7390360146272,0.0117843547288837,0.905997260362025,67.8998675917767,2022-09-15,37,"after leafout",0.61517094017094
"16",37,"pd","1478","Low","Cucu Mesa","blue oak",-1.695,0.725960702486524,0.0191562279024577,0.00231173549047214,0.362301857662189,15.7390360146272,0.0139066686650601,0.905997260362025,80.1283551560011,2022-09-15,37,"after leafout",0.725960702486524
"17",37,"pd","1478","Low","Cucu Mesa","blue oak",-1.695,0.725960702486524,0.0191562279024577,0.00231173549047214,0.326361906485926,15.7390360146272,0.0139066686650601,1.06420376345173,68.3832994015183,2022-09-15,37,"after leafout",0.725960702486524
"18",10,"md","2004","High","Cucu Mesa","blue oak",-1.65333333333333,1.78337099060783,0.0121501229036499,NA,0.0394096097418779,NA,0.0216681767186891,1.85855728429986,95.9545883074382,2022-03-08,10,"before leafout",1.78337099060783
"19",10,"pd","2004","High","Cucu Mesa","blue oak",-0.3335,2.02494061085973,0.0121501229036499,NA,0.0394096097418779,NA,0.0246032772945376,1.85855728429986,108.952284008967,2022-03-08,10,"before leafout",2.02494061085973
"20",14,"md","2004","High","Cucu Mesa","blue oak",-2.375,0.794647749168171,0.0158333276598419,0.0110618413618275,0.320439256174604,23.8692377316076,0.0125819181867355,0.984012348858943,80.7558716198675,2022-04-04,14,"before leafout",0.794647749168171
"21",14,"md","2004","High","Cucu Mesa","blue oak",-2.375,0.794647749168171,0.0158333276598419,0.0110618413618275,0.271887792696541,23.8692377316076,0.0125819181867355,1.24988708642834,64.0909001702758,2022-04-04,14,"before leafout",0.794647749168171
"22",14,"pd","2004","High","Cucu Mesa","blue oak",-0.38925,1.01301729162619,0.0158333276598419,0.013183280005311,0.271887792696541,23.8692377316076,0.0160394347034031,1.24988708642834,81.7031070387356,2022-04-04,14,"before leafout",1.01301729162619
"23",14,"pd","2004","High","Cucu Mesa","blue oak",-0.38925,1.01301729162619,0.0158333276598419,0.013183280005311,0.320439256174604,23.8692377316076,0.0160394347034031,0.984012348858943,102.947619793683,2022-04-04,14,"before leafout",1.01301729162619
"24",15,"md","2004","High","Cucu Mesa","blue oak",-2.2,0.822410202966214,0.0158333276598419,0.0115122879928799,0.271887792696541,23.8692377316076,0.0130214902143612,1.24988708642834,66.3300314793557,2022-04-13,14,"before leafout",0.822410202966214
"25",15,"md","2004","High","Cucu Mesa","blue oak",-2.2,0.822410202966214,0.0158333276598419,0.0115122879928799,0.320439256174604,23.8692377316076,0.0130214902143612,0.984012348858943,83.5772237939776,2022-04-13,14,"before leafout",0.822410202966214
"26",17,"md","2004","High","Cucu Mesa","blue oak",-2.62066666666667,0.889679715302491,0.0145652358473587,0.0118806105092193,NA,18.3031771903809,0.0129583948819918,NA,NA,2022-04-25,17,"before leafout",0.889679715302491
"27",17,"pd","2004","High","Cucu Mesa","blue oak",-0.9345,0.957777777777778,0.0145652358473587,0.0124817943333451,NA,18.3031771903809,0.0139502592226925,NA,NA,2022-04-25,17,"before leafout",0.957777777777778
"28",21,"md","2004","High","Cucu Mesa","blue oak",-2.6858,0.709677419354839,NA,0.0119565663660206,NA,NA,NA,0.731862533749876,96.9686773988325,2022-05-23,21,"after leafout",0.709677419354839
"29",21,"md","2004","High","Cucu Mesa","blue oak",-2.6858,0.709677419354839,NA,0.0119565663660206,NA,NA,NA,0.887540416031674,79.9600115708435,2022-05-23,21,"after leafout",0.709677419354839
"30",21,"pd","2004","High","Cucu Mesa","blue oak",-1.81766666666667,0.795422935895815,NA,0.0132346981218688,NA,NA,NA,0.887540416031674,89.6210382680115,2022-05-23,21,"after leafout",0.795422935895815
"31",21,"pd","2004","High","Cucu Mesa","blue oak",-1.81766666666667,0.795422935895815,NA,0.0132346981218688,NA,NA,NA,0.731862533749876,108.684746002814,2022-05-23,21,"after leafout",0.795422935895815
"32",37,"pd","2004","High","Cucu Mesa","blue oak",-1.6205,0.708538614313438,0.017692534795037,0.0107616550569571,0.319742459037587,11.8112333956437,0.0125358440873678,0.748602341189759,94.6481964225964,2022-09-15,37,"after leafout",0.708538614313438
"33",37,"pd","2004","High","Cucu Mesa","blue oak",-1.6205,0.708538614313438,0.017692534795037,0.0107616550569571,0.29526810313666,11.8112333956437,0.0125358440873678,0.840590314180661,84.4005101965363,2022-09-15,37,"after leafout",0.708538614313438
"34",37,"md","2004","High","Cucu Mesa","blue oak",-3.59033333333333,0.575609756097561,0.017692534795037,0.0108667176171959,0.29526810313666,11.8112333956437,0.0101839956381188,0.840590314180661,68.5661389616893,2022-09-15,37,"after leafout",0.575609756097561
"35",37,"md","2004","High","Cucu Mesa","blue oak",-3.59033333333333,0.575609756097561,0.017692534795037,0.0108667176171959,0.319742459037587,11.8112333956437,0.0101839956381188,0.748602341189759,76.8912578048768,2022-09-15,37,"after leafout",0.575609756097561
"36",10,"md","2005","High","Cucu Mesa","blue oak",-1.445,1.62323826973427,0.012190347446081,NA,0.188031371515192,NA,0.0197878384958361,1.71111111111111,94.8645742052494,2022-03-08,10,"before leafout",1.62323826973427
"37",10,"pd","2005","High","Cucu Mesa","blue oak",-1.045,2.06130156027669,0.012190347446081,NA,0.188031371515192,NA,0.0251279822109217,1.71111111111111,120.465675600586,2022-03-08,10,"before leafout",2.06130156027669
"38",14,"md","2005","High","Cucu Mesa","blue oak",-2.125,0.8526937359215,0.0145362507556816,0.0137880050298866,0.304495240623931,40.3448087926184,0.0123949699631539,1.21702640831303,70.2822657175482,2022-04-04,14,"before leafout",0.8526937359215
"39",14,"md","2005","High","Cucu Mesa","blue oak",-2.125,0.8526937359215,0.0145362507556816,0.0137880050298866,0.325534585141323,40.3448087926184,0.0123949699631539,1.10154433742943,77.4089346155009,2022-04-04,14,"before leafout",0.8526937359215
"40",14,"pd","2005","High","Cucu Mesa","blue oak",-0.4295,1.03670053795577,0.0145362507556816,0.0140124875453668,0.304495240623931,40.3448087926184,0.0150697389782751,1.21702640831303,85.4488072430736,2022-04-04,14,"before leafout",1.03670053795577
"41",14,"pd","2005","High","Cucu Mesa","blue oak",-0.4295,1.03670053795577,0.0145362507556816,0.0140124875453668,0.325534585141323,40.3448087926184,0.0150697389782751,1.10154433742943,94.1133736273404,2022-04-04,14,"before leafout",1.03670053795577
"42",15,"md","2005","High","Cucu Mesa","blue oak",-1.61666666666667,0.920980879746515,0.0145362507556816,0.0131851402131099,0.325534585141323,40.3448087926184,0.0133876090091836,1.10154433742943,83.6081534308207,2022-04-13,14,"before leafout",0.920980879746515
"43",15,"md","2005","High","Cucu Mesa","blue oak",-1.61666666666667,0.920980879746515,0.0145362507556816,0.0131851402131099,0.304495240623931,40.3448087926184,0.0133876090091836,1.21702640831303,75.9107522247412,2022-04-13,14,"before leafout",0.920980879746515
"44",17,"md","2005","High","Cucu Mesa","blue oak",-2.733,0.915650406504065,0.0148348978552018,0.0124507288514578,NA,25.067819960403,0.0135835802515618,NA,NA,2022-04-25,17,"before leafout",0.915650406504065
"45",17,"pd","2005","High","Cucu Mesa","blue oak",-0.917666666666667,1.00491883915396,0.0148348978552018,0.0139557778529314,NA,25.067819960403,0.0149078683316169,NA,NA,2022-04-25,17,"before leafout",1.00491883915396
"46",19,"md","2005","High","Cucu Mesa","blue oak",-2.49,0.861052288646359,NA,0.0135564592917252,NA,NA,NA,0.990087720935702,151.160675017077,2022-05-09,21,"after leafout",0.861052288646359
"47",19,"md","2005","High","Cucu Mesa","blue oak",-2.49,0.861052288646359,NA,0.0135564592917252,NA,NA,NA,0.852600160170121,100.991335548723,2022-05-09,21,"after leafout",0.861052288646359
"48",21,"md","2005","High","Cucu Mesa","blue oak",-3,0.755717255717256,NA,0.0128091386279776,NA,NA,NA,0.840261061546689,89.9383882345076,2022-05-23,21,"after leafout",0.755717255717256
"49",21,"md","2005","High","Cucu Mesa","blue oak",-3,0.755717255717256,NA,0.0128091386279776,NA,NA,NA,0.940339179149921,80.3664541979879,2022-05-23,21,"after leafout",0.755717255717256
"50",21,"pd","2005","High","Cucu Mesa","blue oak",-1.72933333333333,0.896278003175163,NA,0.0148793766314298,NA,NA,NA,0.840261061546689,106.666611627268,2022-05-23,21,"after leafout",0.896278003175163
"51",21,"pd","2005","High","Cucu Mesa","blue oak",-1.72933333333333,0.896278003175163,NA,0.0148793766314298,NA,NA,NA,0.940339179149921,95.3143315782514,2022-05-23,21,"after leafout",0.896278003175163
"52",29,"md","2005","High","Cucu Mesa","blue oak",-4.3,0.634094616639478,0.0165650149467614,0.00922988390642762,NA,29.40386544806,0.0105037868022939,NA,NA,2022-07-19,29,"after leafout",0.634094616639478
"53",29,"pd","2005","High","Cucu Mesa","blue oak",-2.138,0.57945945945946,0.0165650149467614,0.0105332038987298,NA,29.40386544806,0.00959875460698826,NA,NA,2022-07-19,29,"after leafout",0.57945945945946
