tree,slope,week,date_wp,cwc,time_season
1478,6.024065737051783e-4,14,2022-04-04,0.098124,before leafout
1478,6.024065737051783e-4,37,2022-09-15,0.0806744,after leafout
1478,6.024065737051783e-4,29,2022-07-19,NA,after leafout
1478,6.024065737051783e-4,21,2022-05-23,0.0453818,after leafout
1478,6.024065737051783e-4,15,2022-04-13,0.0633957,before leafout
1478,6.024065737051783e-4,17,2022-04-25,0.0918326,after leafout
1478,6.024065737051783e-4,19,2022-05-09,0.0505631,after leafout
2004,-0.0013977928571428588,14,2022-04-04,0.0277383,before leafout
2004,-0.0013977928571428588,37,2022-09-15,0.0171421,after leafout
2004,-0.0013977928571428588,10,2022-03-08,0.107627,before leafout
2004,-0.0013977928571428588,21,2022-05-23,0.0444557,after leafout
2004,-0.0013977928571428588,15,2022-04-13,0.0645346,before leafout
2004,-0.0013977928571428588,17,2022-04-25,0.0426235,after leafout
2005,-0.0019045794820717133,10,2022-03-08,0.056627,before leafout
2005,-0.0019045794820717133,37,2022-09-15,0,after leafout
2005,-0.0019045794820717133,29,2022-07-19,NA,after leafout
2005,-0.0019045794820717133,15,2022-04-13,0.02661,before leafout
2005,-0.0019045794820717133,19,2022-05-09,0.0233641,after leafout
2005,-0.0019045794820717133,14,2022-04-04,0.0666067,before leafout
2005,-0.0019045794820717133,17,2022-04-25,0.0551155,after leafout
2005,-0.0019045794820717133,21,2022-05-23,0.0058641,after leafout
2007,-0.0020361197211155382,21,2022-05-23,0.0159805,after leafout
2007,-0.0020361197211155382,19,2022-05-09,0.0179101,after leafout
2007,-0.0020361197211155382,10,2022-03-08,0.0626829,before leafout
2007,-0.0020361197211155382,14,2022-04-04,0.0630606,before leafout
2007,-0.0020361197211155382,15,2022-04-13,0.041694,before leafout
2007,-0.0020361197211155382,17,2022-04-25,0.0600799,after leafout
2007,-0.0020361197211155382,29,2022-07-19,NA,after leafout
2007,-0.0020361197211155382,37,2022-09-15,0,after leafout
2009,-6.063922238372093e-4,17,2022-04-25,0.0195894,after leafout
2009,-6.063922238372093e-4,12,2022-03-25,0.0407137,before leafout
2009,-6.063922238372093e-4,14,2022-03-30,0.0582121,before leafout
2009,-6.063922238372093e-4,15,2022-04-13,0.0060261,before leafout
2009,-6.063922238372093e-4,18,2022-05-04,2.2e-6,after leafout
2009,-6.063922238372093e-4,14,2022-04-06,0.0582121,before leafout
2009,-6.063922238372093e-4,21,2022-05-23,0.0171527,after leafout
2009,-6.063922238372093e-4,37,2022-09-15,0,after leafout
2009,-6.063922238372093e-4,29,2022-07-19,NA,after leafout
2009,-6.063922238372093e-4,15,2022-04-11,0.0060261,before leafout
2009,-6.063922238372093e-4,19,2022-05-09,0.0109038,after leafout
2009,-6.063922238372093e-4,33,2022-08-18,NA,after leafout
2010,-1.1756577034883724e-4,18,2022-05-04,0,after leafout
2010,-1.1756577034883724e-4,12,2022-03-25,0.0368732,before leafout
2010,-1.1756577034883724e-4,17,2022-04-25,0.0059915,after leafout
2010,-1.1756577034883724e-4,14,2022-03-30,0.0457743,before leafout
2010,-1.1756577034883724e-4,15,2022-04-13,0,before leafout
2010,-1.1756577034883724e-4,15,2022-04-11,0,before leafout
2010,-1.1756577034883724e-4,29,2022-07-19,NA,after leafout
2010,-1.1756577034883724e-4,37,2022-09-15,0,after leafout
2010,-1.1756577034883724e-4,19,2022-05-09,0,after leafout
2010,-1.1756577034883724e-4,21,2022-05-23,0,after leafout
2010,-1.1756577034883724e-4,33,2022-08-18,NA,after leafout
2011,-0.0010589667151162793,17,2022-04-25,0.019963,after leafout
2011,-0.0010589667151162793,15,2022-04-13,0.0348477,before leafout
2011,-0.0010589667151162793,15,2022-04-11,0.0348477,before leafout
2011,-0.0010589667151162793,29,2022-07-19,NA,after leafout
2011,-0.0010589667151162793,19,2022-05-09,0.0388116,after leafout
2011,-0.0010589667151162793,14,2022-04-04,0.0647117,before leafout
2011,-0.0010589667151162793,33,2022-08-18,NA,after leafout
2011,-0.0010589667151162793,37,2022-09-15,0,after leafout
2011,-0.0010589667151162793,18,2022-05-04,0.0091785,after leafout
2011,-0.0010589667151162793,14,2022-04-06,0.0647117,before leafout
2011,-0.0010589667151162793,21,2022-05-23,0.008059,after leafout
2012,-5.316866533864543e-4,37,2022-09-15,0.0139964,after leafout
2012,-5.316866533864543e-4,29,2022-07-19,NA,after leafout
2012,-5.316866533864543e-4,19,2022-05-09,0.014153,after leafout
2012,-5.316866533864543e-4,15,2022-04-13,0.038282,before leafout
2012,-5.316866533864543e-4,21,2022-05-23,0,after leafout
2012,-5.316866533864543e-4,17,2022-04-25,0.0398025,after leafout
2012,-5.316866533864543e-4,14,2022-04-04,0.0586781,before leafout
2015,4.070519920318726e-4,21,2022-05-23,0.0116,after leafout
2015,4.070519920318726e-4,37,2022-09-15,0.0097163,after leafout
2015,4.070519920318726e-4,29,2022-07-19,NA,after leafout
2015,4.070519920318726e-4,17,2022-04-25,0,after leafout
2015,4.070519920318726e-4,19,2022-05-09,0,after leafout
2015,4.070519920318726e-4,14,2022-04-04,0.0587953,before leafout
2015,4.070519920318726e-4,15,2022-04-13,1e-7,before leafout
2020,-7.409870517928288e-4,37,2022-09-15,0,after leafout
2020,-7.409870517928288e-4,29,2022-07-19,NA,after leafout
2020,-7.409870517928288e-4,21,2022-05-23,0,after leafout
2020,-7.409870517928288e-4,17,2022-04-25,0.0286135,after leafout
2020,-7.409870517928288e-4,19,2022-05-09,0,after leafout
2020,-7.409870517928288e-4,10,2022-03-08,0.0099316,before leafout
2020,-7.409870517928288e-4,14,2022-04-04,0.00586,before leafout
2020,-7.409870517928288e-4,15,2022-04-13,0,before leafout
2021,-0.0010610396414342629,19,2022-05-09,0.0147011,after leafout
2021,-0.0010610396414342629,14,2022-04-04,0.0621053,before leafout
2021,-0.0010610396414342629,15,2022-04-13,0.0084689,before leafout
2021,-0.0010610396414342629,10,2022-03-08,0.088121,before leafout
2021,-0.0010610396414342629,37,2022-09-15,0,after leafout
2021,-0.0010610396414342629,29,2022-07-19,NA,after leafout
2021,-0.0010610396414342629,21,2022-05-23,0.0209294,after leafout
2021,-0.0010610396414342629,17,2022-04-25,0.022745,after leafout
2024,-0.001364681474103586,29,2022-07-19,NA,after leafout
2024,-0.001364681474103586,37,2022-09-15,0,after leafout
2024,-0.001364681474103586,19,2022-05-09,0.0079378,after leafout
2024,-0.001364681474103586,14,2022-04-04,0.0355296,before leafout
2024,-0.001364681474103586,17,2022-04-25,0.0472023,after leafout
2024,-0.001364681474103586,21,2022-05-23,0,after leafout
2024,-0.001364681474103586,10,2022-03-08,0.0646295,before leafout
2024,-0.001364681474103586,15,2022-04-13,2e-7,before leafout
2025,-0.0012089488047808765,21,2022-05-23,0.0170609,after leafout
2025,-0.0012089488047808765,19,2022-05-09,0.0226033,after leafout
2025,-0.0012089488047808765,37,2022-09-15,0,after leafout
2025,-0.0012089488047808765,15,2022-04-13,0.0061813,before leafout
2025,-0.0012089488047808765,14,2022-04-04,0.0605638,before leafout
2025,-0.0012089488047808765,29,2022-07-19,NA,after leafout
2025,-0.0012089488047808765,17,2022-04-25,0.0244737,after leafout
2025,-0.0012089488047808765,10,2022-03-08,0.0585263,before leafout
2026,-0.0012125543824701196,21,2022-05-23,0,after leafout
2026,-0.0012125543824701196,10,2022-03-08,0.0198936,before leafout
2026,-0.0012125543824701196,15,2022-04-13,0,before leafout
2026,-0.0012125543824701196,37,2022-09-15,0,after leafout
2026,-0.0012125543824701196,19,2022-05-09,0.0159674,after leafout
2026,-0.0012125543824701196,17,2022-04-25,0.0357689,after leafout
2026,-0.0012125543824701196,29,2022-07-19,NA,after leafout
2026,-0.0012125543824701196,14,2022-04-04,0.0264174,before leafout
2027,-1.9313286852589646e-4,21,2022-05-23,0,after leafout
2027,-1.9313286852589646e-4,15,2022-04-13,0.0079662,before leafout
2027,-1.9313286852589646e-4,17,2022-04-25,0.0074579,after leafout
2027,-1.9313286852589646e-4,14,2022-04-04,0.0697813,before leafout
2027,-1.9313286852589646e-4,37,2022-09-15,0,after leafout
2027,-1.9313286852589646e-4,29,2022-07-19,NA,after leafout
2027,-1.9313286852589646e-4,19,2022-05-09,0,after leafout
2028,-0.0024114270916334663,19,2022-05-09,0.0339499,after leafout
2028,-0.0024114270916334663,37,2022-09-15,0,after leafout
2028,-0.0024114270916334663,14,2022-04-04,0.0763207,before leafout
2028,-0.0024114270916334663,15,2022-04-13,0.0272247,before leafout
2028,-0.0024114270916334663,17,2022-04-25,0.0630126,after leafout
2028,-0.0024114270916334663,21,2022-05-23,0.0171647,after leafout
2028,-0.0024114270916334663,29,2022-07-19,NA,after leafout
2031,-9.788055776892431e-4,14,2022-04-04,0.0239987,before leafout
2031,-9.788055776892431e-4,37,2022-09-15,0,after leafout
2031,-9.788055776892431e-4,21,2022-05-23,0.0019923,after leafout
2031,-9.788055776892431e-4,15,2022-04-13,0,before leafout
2031,-9.788055776892431e-4,17,2022-04-25,0.0286719,after leafout
2031,-9.788055776892431e-4,19,2022-05-09,0.0120738,after leafout
2031,-9.788055776892431e-4,29,2022-07-19,NA,after leafout
2085,-8.289883561643848e-4,14,2022-04-04,0.0843665,before leafout
2085,-8.289883561643848e-4,29,2022-07-19,NA,after leafout
2085,-8.289883561643848e-4,17,2022-04-25,NA,after leafout
2085,-8.289883561643848e-4,21,2022-05-23,0.0544908,after leafout
2085,-8.289883561643848e-4,19,2022-05-09,0.0440244,after leafout
2085,-8.289883561643848e-4,37,2022-09-15,0.034095,after leafout
2085,-8.289883561643848e-4,15,2022-04-11,0.0647904,before leafout
2086,-2.3115308219178105e-4,37,2022-09-15,0,after leafout
2086,-2.3115308219178105e-4,29,2022-07-19,NA,after leafout
2086,-2.3115308219178105e-4,21,2022-05-23,0.0067591,after leafout
2086,-2.3115308219178105e-4,19,2022-05-09,0.0020183,after leafout
2086,-2.3115308219178105e-4,14,2022-04-04,0.0596486,before leafout
2086,-2.3115308219178105e-4,15,2022-04-11,0,before leafout
2086,-2.3115308219178105e-4,17,2022-04-25,NA,after leafout
2087,5.509366438356158e-4,17,2022-04-25,NA,after leafout
2087,5.509366438356158e-4,19,2022-05-09,0.0138066,after leafout
2087,5.509366438356158e-4,37,2022-09-15,0.0299489,after leafout
2087,5.509366438356158e-4,15,2022-04-11,0.0355636,before leafout
2087,5.509366438356158e-4,21,2022-05-23,0.0300274,after leafout
2087,5.509366438356158e-4,29,2022-07-19,NA,after leafout
