tree,slope,week,date_wp,cwc,time_season
2004,-0.011862392857142877,17,2022-04-25,0.0426235,after leafout
2004,-0.011862392857142877,14,2022-04-04,0.0277383,before leafout
2004,-0.011862392857142877,37,2022-09-15,0.0171421,after leafout
2004,-0.011862392857142877,21,2022-05-23,0.0444557,after leafout
2004,-0.011862392857142877,15,2022-04-13,0.0645346,before leafout
2004,-0.011862392857142877,10,2022-03-08,0.107627,before leafout
2005,-0.0035753071428571534,14,2022-04-04,0.0666067,before leafout
2005,-0.0035753071428571534,10,2022-03-08,0.056627,before leafout
2005,-0.0035753071428571534,19,2022-05-09,0.0233641,after leafout
2005,-0.0035753071428571534,21,2022-05-23,0.0058641,after leafout
2005,-0.0035753071428571534,29,2022-07-19,NA,after leafout
2005,-0.0035753071428571534,17,2022-04-25,0.0551155,after leafout
2005,-0.0035753071428571534,37,2022-09-15,0,after leafout
2005,-0.0035753071428571534,15,2022-04-13,0.02661,before leafout
2006,2.7248571428570534e-4,19,2022-05-09,0.0155575,after leafout
2006,2.7248571428570534e-4,37,2022-09-15,0,after leafout
2006,2.7248571428570534e-4,17,2022-04-25,0.0818919,after leafout
2006,2.7248571428570534e-4,15,2022-04-13,0.0591474,before leafout
2006,2.7248571428570534e-4,14,2022-04-04,0.0860121,before leafout
2006,2.7248571428570534e-4,21,2022-05-23,0.0163343,after leafout
2006,2.7248571428570534e-4,10,2022-03-08,0.0668307,before leafout
2006,2.7248571428570534e-4,29,2022-07-19,NA,after leafout
2007,-0.002971435714285724,14,2022-04-04,0.0630606,before leafout
2007,-0.002971435714285724,15,2022-04-13,0.041694,before leafout
2007,-0.002971435714285724,21,2022-05-23,0.0159805,after leafout
2007,-0.002971435714285724,19,2022-05-09,0.0179101,after leafout
2007,-0.002971435714285724,37,2022-09-15,0,after leafout
2007,-0.002971435714285724,29,2022-07-19,NA,after leafout
2007,-0.002971435714285724,10,2022-03-08,0.0626829,before leafout
2007,-0.002971435714285724,17,2022-04-25,0.0600799,after leafout
2009,-0.011562533333333284,12,2022-03-25,0.0407137,before leafout
2009,-0.011562533333333284,37,2022-09-15,0,after leafout
2009,-0.011562533333333284,15,2022-04-13,0.0060261,before leafout
2009,-0.011562533333333284,15,2022-04-11,0.0060261,before leafout
2009,-0.011562533333333284,14,2022-04-06,0.0582121,before leafout
2009,-0.011562533333333284,14,2022-03-30,0.0582121,before leafout
2009,-0.011562533333333284,29,2022-07-19,NA,after leafout
2009,-0.011562533333333284,19,2022-05-09,0.0109038,after leafout
2009,-0.011562533333333284,33,2022-08-18,NA,after leafout
2009,-0.011562533333333284,17,2022-04-25,0.0195894,after leafout
2009,-0.011562533333333284,18,2022-05-04,2.2e-6,after leafout
2009,-0.011562533333333284,21,2022-05-23,0.0171527,after leafout
2010,-0.012291066666666673,15,2022-04-11,0,before leafout
2010,-0.012291066666666673,12,2022-03-25,0.0368732,before leafout
2010,-0.012291066666666673,14,2022-03-30,0.0457743,before leafout
2010,-0.012291066666666673,15,2022-04-13,0,before leafout
2010,-0.012291066666666673,37,2022-09-15,0,after leafout
2010,-0.012291066666666673,19,2022-05-09,0,after leafout
2010,-0.012291066666666673,21,2022-05-23,0,after leafout
