tree,slope,week,cwc,time_season,site,date_new,date_wp
2004,-0.011862392857142877,14,0.0277383,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2004,-0.011862392857142877,15,0.0645346,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2004,-0.011862392857142877,17,0.0426235,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2004,-0.011862392857142877,37,0.0171421,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2004,-0.011862392857142877,10,0.107627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2004,-0.011862392857142877,21,0.0444557,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2005,-0.0035753071428571534,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2005,-0.0035753071428571534,21,0.0058641,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2005,-0.0035753071428571534,19,0.0233641,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2005,-0.0035753071428571534,10,0.056627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.0035753071428571534,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2005,-0.0035753071428571534,17,0.0551155,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2005,-0.0035753071428571534,15,0.02661,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2005,-0.0035753071428571534,14,0.0666067,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2006,2.7248571428570534e-4,14,0.0860121,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2006,2.7248571428570534e-4,10,0.0668307,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2006,2.7248571428570534e-4,15,0.0591474,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2006,2.7248571428570534e-4,19,0.0155575,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2006,2.7248571428570534e-4,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2006,2.7248571428570534e-4,21,0.0163343,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2006,2.7248571428570534e-4,17,0.0818919,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2006,2.7248571428570534e-4,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2007,-0.002971435714285724,17,0.0600799,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2007,-0.002971435714285724,15,0.041694,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2007,-0.002971435714285724,21,0.0159805,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2007,-0.002971435714285724,19,0.0179101,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2007,-0.002971435714285724,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2007,-0.002971435714285724,10,0.0626829,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2007,-0.002971435714285724,14,0.0630606,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2007,-0.002971435714285724,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2009,-0.008660857142857152,18,2.2e-6,after leafout,Hobbiton,2022-05-03,2022-05-03
2009,-0.008660857142857152,33,NA,after leafout,Hobbiton,2022-08-18,2022-08-18
2009,-0.008660857142857152,14,0.0582121,before leafout,Hobbiton,2022-04-05,2022-04-05
2009,-0.008660857142857152,19,0.0109038,after leafout,Hobbiton,2022-05-11,2022-05-11
2009,-0.008660857142857152,37,0,after leafout,Hobbiton,2022-09-15,2022-09-15
2009,-0.008660857142857152,29,NA,after leafout,Hobbiton,2022-07-19,2022-07-19
2009,-0.008660857142857152,21,0.0171527,after leafout,Hobbiton,2022-05-29,2022-05-29
2009,-0.008660857142857152,12,0.0407137,before leafout,Hobbiton,2022-03-22,2022-03-22
2009,-0.008660857142857152,17,0.0195894,after leafout,Hobbiton,2022-04-29,2022-04-29
2009,-0.008660857142857152,15,0.0060261,before leafout,Hobbiton,2022-04-12,2022-04-12
