tree,slope,week,date_wp,cwc,time_season
1478,-0.002590649999999998,19,2022-05-09,0.0505631,after leafout
1478,-0.002590649999999998,14,2022-04-04,0.098124,before leafout
1478,-0.002590649999999998,15,2022-04-13,0.0633957,before leafout
1478,-0.002590649999999998,17,2022-04-25,0.0918326,after leafout
1478,-0.002590649999999998,37,2022-09-15,0.0806744,after leafout
1478,-0.002590649999999998,21,2022-05-23,0.0453818,after leafout
1478,-0.002590649999999998,29,2022-07-19,NA,after leafout
2005,-0.008749999999999994,10,2022-03-08,0.056627,before leafout
2005,-0.008749999999999994,14,2022-04-04,0.0666067,before leafout
2005,-0.008749999999999994,15,2022-04-13,0.02661,before leafout
2005,-0.008749999999999994,17,2022-04-25,0.0551155,after leafout
2005,-0.008749999999999994,19,2022-05-09,0.0233641,after leafout
2005,-0.008749999999999994,21,2022-05-23,0.0058641,after leafout
2005,-0.008749999999999994,29,2022-07-19,NA,after leafout
2005,-0.008749999999999994,37,2022-09-15,0,after leafout
2006,3.8840000000000196e-4,15,2022-04-13,0.0591474,before leafout
2006,3.8840000000000196e-4,17,2022-04-25,0.0818919,after leafout
2006,3.8840000000000196e-4,19,2022-05-09,0.0155575,after leafout
2006,3.8840000000000196e-4,29,2022-07-19,NA,after leafout
2006,3.8840000000000196e-4,37,2022-09-15,0,after leafout
2006,3.8840000000000196e-4,10,2022-03-08,0.0668307,before leafout
2006,3.8840000000000196e-4,21,2022-05-23,0.0163343,after leafout
2006,3.8840000000000196e-4,14,2022-04-04,0.0860121,before leafout
2007,-9.647999999999993e-4,19,2022-05-09,0.0179101,after leafout
2007,-9.647999999999993e-4,29,2022-07-19,NA,after leafout
2007,-9.647999999999993e-4,10,2022-03-08,0.0626829,before leafout
2007,-9.647999999999993e-4,14,2022-04-04,0.0630606,before leafout
2007,-9.647999999999993e-4,15,2022-04-13,0.041694,before leafout
2007,-9.647999999999993e-4,17,2022-04-25,0.0600799,after leafout
2007,-9.647999999999993e-4,21,2022-05-23,0.0159805,after leafout
2007,-9.647999999999993e-4,37,2022-09-15,0,after leafout
2009,0.005346492857142864,17,2022-04-25,0.0195894,after leafout
2009,0.005346492857142864,21,2022-05-23,0.0171527,after leafout
2009,0.005346492857142864,14,2022-03-30,0.0582121,before leafout
2009,0.005346492857142864,19,2022-05-09,0.0109038,after leafout
2009,0.005346492857142864,14,2022-04-06,0.0582121,before leafout
2009,0.005346492857142864,18,2022-05-04,2.2e-6,after leafout
2009,0.005346492857142864,15,2022-04-11,0.0060261,before leafout
2009,0.005346492857142864,33,2022-08-18,NA,after leafout
2009,0.005346492857142864,15,2022-04-13,0.0060261,before leafout
2009,0.005346492857142864,29,2022-07-19,NA,after leafout
2009,0.005346492857142864,12,2022-03-25,0.0407137,before leafout
2009,0.005346492857142864,37,2022-09-15,0,after leafout
2010,-0,15,2022-04-13,0,before leafout
2010,-0,19,2022-05-09,0,after leafout
2010,-0,21,2022-05-23,0,after leafout
2010,-0,33,2022-08-18,NA,after leafout
2010,-0,37,2022-09-15,0,after leafout
2010,-0,12,2022-03-25,0.0368732,before leafout
2010,-0,18,2022-05-04,0,after leafout
2010,-0,29,2022-07-19,NA,after leafout
2010,-0,14,2022-03-30,0.0457743,before leafout
2010,-0,15,2022-04-11,0,before leafout
2010,-0,17,2022-04-25,0.0059915,after leafout
2011,-0.002516471428571458,14,2022-04-06,0.0647117,before leafout
2011,-0.002516471428571458,37,2022-09-15,0,after leafout
2011,-0.002516471428571458,18,2022-05-04,0.0091785,after leafout
2011,-0.002516471428571458,17,2022-04-25,0.019963,after leafout
2011,-0.002516471428571458,33,2022-08-18,NA,after leafout
2011,-0.002516471428571458,19,2022-05-09,0.0388116,after leafout
2011,-0.002516471428571458,15,2022-04-11,0.0348477,before leafout
2011,-0.002516471428571458,29,2022-07-19,NA,after leafout
2011,-0.002516471428571458,15,2022-04-13,0.0348477,before leafout
2011,-0.002516471428571458,14,2022-04-04,0.0647117,before leafout
2011,-0.002516471428571458,21,2022-05-23,0.008059,after leafout
2012,-0.007076499999999997,15,2022-04-13,0.038282,before leafout
2012,-0.007076499999999997,17,2022-04-25,0.0398025,after leafout
2012,-0.007076499999999997,37,2022-09-15,0.0139964,after leafout
2012,-0.007076499999999997,14,2022-04-04,0.0586781,before leafout
2012,-0.007076499999999997,29,2022-07-19,NA,after leafout
2012,-0.007076499999999997,19,2022-05-09,0.014153,after leafout
2012,-0.007076499999999997,21,2022-05-23,0,after leafout
2015,0.005799999999999997,14,2022-04-04,0.0587953,before leafout
2015,0.005799999999999997,29,2022-07-19,NA,after leafout
2015,0.005799999999999997,37,2022-09-15,0.0097163,after leafout
2015,0.005799999999999997,17,2022-04-25,0,after leafout
2015,0.005799999999999997,19,2022-05-09,0,after leafout
2015,0.005799999999999997,21,2022-05-23,0.0116,after leafout
2015,0.005799999999999997,15,2022-04-13,1e-7,before leafout
2020,0,19,2022-05-09,0,after leafout
2020,0,29,2022-07-19,NA,after leafout
2020,0,10,2022-03-08,0.0099316,before leafout
2020,0,37,2022-09-15,0,after leafout
2020,0,14,2022-04-04,0.00586,before leafout
2020,0,21,2022-05-23,0,after leafout
2020,0,17,2022-04-25,0.0286135,after leafout
2020,0,15,2022-04-13,0,before leafout
2021,0.0031141500000000017,15,2022-04-13,0.0084689,before leafout
2021,0.0031141500000000017,37,2022-09-15,0,after leafout
2021,0.0031141500000000017,29,2022-07-19,NA,after leafout
2021,0.0031141500000000017,10,2022-03-08,0.088121,before leafout
2021,0.0031141500000000017,19,2022-05-09,0.0147011,after leafout
2021,0.0031141500000000017,17,2022-04-25,0.022745,after leafout
2021,0.0031141500000000017,21,2022-05-23,0.0209294,after leafout
2021,0.0031141500000000017,14,2022-04-04,0.0621053,before leafout
2024,-0.003968899999999998,17,2022-04-25,0.0472023,after leafout
2024,-0.003968899999999998,14,2022-04-04,0.0355296,before leafout
2024,-0.003968899999999998,19,2022-05-09,0.0079378,after leafout
2024,-0.003968899999999998,10,2022-03-08,0.0646295,before leafout
2024,-0.003968899999999998,29,2022-07-19,NA,after leafout
2024,-0.003968899999999998,37,2022-09-15,0,after leafout
2024,-0.003968899999999998,15,2022-04-13,2e-7,before leafout
2024,-0.003968899999999998,21,2022-05-23,0,after leafout
2025,-0.0027711999999999954,21,2022-05-23,0.0170609,after leafout
2025,-0.0027711999999999954,37,2022-09-15,0,after leafout
2025,-0.0027711999999999954,29,2022-07-19,NA,after leafout
2025,-0.0027711999999999954,19,2022-05-09,0.0226033,after leafout
2025,-0.0027711999999999954,14,2022-04-04,0.0605638,before leafout
2025,-0.0027711999999999954,10,2022-03-08,0.0585263,before leafout
2025,-0.0027711999999999954,15,2022-04-13,0.0061813,before leafout
2025,-0.0027711999999999954,17,2022-04-25,0.0244737,after leafout
2026,-0.007983699999999996,37,2022-09-15,0,after leafout
2026,-0.007983699999999996,29,2022-07-19,NA,after leafout
2026,-0.007983699999999996,14,2022-04-04,0.0264174,before leafout
2026,-0.007983699999999996,19,2022-05-09,0.0159674,after leafout
