tree,slope,week,cwc,time_season,site,date_new,date_wp
2022,-0.005537899999999998,37,0.0350568,after leafout,Chamise,2022-09-15,2022-09-15
2022,-0.005537899999999998,21,0,after leafout,Chamise,2022-05-29,2022-05-29
2022,-0.005537899999999998,11,0.0639795,before leafout,Chamise,2022-03-16,2022-03-16
2022,-0.005537899999999998,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2022,-0.005537899999999998,10,0.0771133,before leafout,Chamise,2022-03-08,2022-03-08
2022,-0.005537899999999998,14,0.0652834,before leafout,Chamise,2022-04-05,2022-04-05
2022,-0.005537899999999998,17,0.0260983,after leafout,Chamise,2022-04-29,2022-04-29
2022,-0.005537899999999998,19,0.0110758,after leafout,Chamise,2022-05-11,2022-05-11
2023,-0.002191849999999999,14,0.0834795,before leafout,Chamise,2022-04-05,2022-04-05
2023,-0.002191849999999999,17,0,after leafout,Chamise,2022-04-29,2022-04-29
2023,-0.002191849999999999,19,0.0186733,after leafout,Chamise,2022-05-11,2022-05-11
2023,-0.002191849999999999,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2023,-0.002191849999999999,37,6e-7,after leafout,Chamise,2022-09-15,2022-09-15
2023,-0.002191849999999999,10,0.0451304,before leafout,Chamise,2022-03-08,2022-03-08
2023,-0.002191849999999999,11,0.0528355,before leafout,Chamise,2022-03-16,2022-03-16
2023,-0.002191849999999999,21,0.0142896,after leafout,Chamise,2022-05-29,2022-05-29
2029,0.00912415,21,0.0499989,after leafout,Chamise,2022-05-29,2022-05-29
2029,0.00912415,19,0.0317506,after leafout,Chamise,2022-05-11,2022-05-11
2029,0.00912415,37,0.0642643,after leafout,Chamise,2022-09-15,2022-09-15
2029,0.00912415,17,0.0627055,after leafout,Chamise,2022-04-29,2022-04-29
2029,0.00912415,14,0.0642989,before leafout,Chamise,2022-04-05,2022-04-05
2029,0.00912415,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2030,-3.9195000000000153e-4,14,0.0328956,before leafout,Chamise,2022-04-05,2022-04-05
2030,-3.9195000000000153e-4,21,0.035939,after leafout,Chamise,2022-05-29,2022-05-29
2030,-3.9195000000000153e-4,17,0.0510859,after leafout,Chamise,2022-04-29,2022-04-29
2030,-3.9195000000000153e-4,19,0.0367229,after leafout,Chamise,2022-05-11,2022-05-11
2030,-3.9195000000000153e-4,37,0.0216486,after leafout,Chamise,2022-09-15,2022-09-15
2030,-3.9195000000000153e-4,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2089,-0.018146099999999984,17,NA,after leafout,PineNeedle,2022-04-29,2022-04-29
2089,-0.018146099999999984,14,0.0609999,before leafout,PineNeedle,2022-04-05,2022-04-05
2089,-0.018146099999999984,37,0.0536205,after leafout,PineNeedle,2022-09-15,2022-09-15
2089,-0.018146099999999984,29,NA,after leafout,PineNeedle,2022-07-19,2022-07-19
2089,-0.018146099999999984,21,0.0414787,after leafout,PineNeedle,2022-05-29,2022-05-29
2089,-0.018146099999999984,11,0.0696476,before leafout,PineNeedle,2022-03-16,2022-03-16
2089,-0.018146099999999984,15,0.0418836,before leafout,PineNeedle,2022-04-12,2022-04-12
2089,-0.018146099999999984,19,0.0777709,after leafout,PineNeedle,2022-05-11,2022-05-11
2089,-0.018146099999999984,10,0.0725754,before leafout,PineNeedle,2022-03-08,2022-03-08
2091,0.00673900000000001,29,NA,after leafout,PineNeedle,2022-07-19,2022-07-19
2091,0.00673900000000001,21,0.119929,after leafout,PineNeedle,2022-05-29,2022-05-29
2091,0.00673900000000001,11,0.104492,before leafout,PineNeedle,2022-03-16,2022-03-16
2091,0.00673900000000001,37,0.1478956,after leafout,PineNeedle,2022-09-15,2022-09-15
2091,0.00673900000000001,19,0.106451,after leafout,PineNeedle,2022-05-11,2022-05-11
2091,0.00673900000000001,17,NA,after leafout,PineNeedle,2022-04-29,2022-04-29
2091,0.00673900000000001,10,0.10556,before leafout,PineNeedle,2022-03-08,2022-03-08
2091,0.00673900000000001,15,0.0919045,before leafout,PineNeedle,2022-04-12,2022-04-12
2091,0.00673900000000001,14,0.130621,before leafout,PineNeedle,2022-04-05,2022-04-05
2092,0.01093055,10,0,before leafout,PineNeedle,2022-03-08,2022-03-08
2092,0.01093055,11,0,before leafout,PineNeedle,2022-03-16,2022-03-16
2092,0.01093055,17,NA,after leafout,PineNeedle,2022-04-29,2022-04-29
2092,0.01093055,19,0.0204449,after leafout,PineNeedle,2022-05-11,2022-05-11
2092,0.01093055,29,NA,after leafout,PineNeedle,2022-07-19,2022-07-19
2092,0.01093055,37,0.0211707,after leafout,PineNeedle,2022-09-15,2022-09-15
2092,0.01093055,15,0.0232444,before leafout,PineNeedle,2022-04-12,2022-04-12
2092,0.01093055,21,0.042306,after leafout,PineNeedle,2022-05-29,2022-05-29
2092,0.01093055,14,0.0722144,before leafout,PineNeedle,2022-04-05,2022-04-05
2093,0.01122105,17,NA,after leafout,PineNeedle,2022-04-29,2022-04-29
2093,0.01122105,19,0.0365511,after leafout,PineNeedle,2022-05-11,2022-05-11
2093,0.01122105,15,0.0226075,before leafout,PineNeedle,2022-04-12,2022-04-12
2093,0.01122105,37,0.0696553,after leafout,PineNeedle,2022-09-15,2022-09-15
2093,0.01122105,29,NA,after leafout,PineNeedle,2022-07-19,2022-07-19
