tree,slope,week,cwc,time_season,site,date_new,date_wp
2022,-0.007103954109589042,11,0.0639795,before leafout,Chamise,2022-03-16,2022-03-16
2022,-0.007103954109589042,10,0.0771133,before leafout,Chamise,2022-03-08,2022-03-08
2022,-0.007103954109589042,21,0,after leafout,Chamise,2022-05-29,2022-05-29
2022,-0.007103954109589042,14,0.0652834,before leafout,Chamise,2022-04-05,2022-04-05
2022,-0.007103954109589042,19,0.0110758,after leafout,Chamise,2022-05-11,2022-05-11
2022,-0.007103954109589042,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2022,-0.007103954109589042,17,0.0260983,after leafout,Chamise,2022-04-29,2022-04-29
2022,-0.007103954109589042,37,0.0350568,after leafout,Chamise,2022-09-15,2022-09-15
2023,-0.004433343835616441,17,0,after leafout,Chamise,2022-04-29,2022-04-29
2023,-0.004433343835616441,19,0.0186733,after leafout,Chamise,2022-05-11,2022-05-11
2023,-0.004433343835616441,14,0.0834795,before leafout,Chamise,2022-04-05,2022-04-05
2023,-0.004433343835616441,37,6e-7,after leafout,Chamise,2022-09-15,2022-09-15
2023,-0.004433343835616441,10,0.0451304,before leafout,Chamise,2022-03-08,2022-03-08
2023,-0.004433343835616441,11,0.0528355,before leafout,Chamise,2022-03-16,2022-03-16
2023,-0.004433343835616441,21,0.0142896,after leafout,Chamise,2022-05-29,2022-05-29
2023,-0.004433343835616441,29,NA,after leafout,Chamise,2022-07-19,2022-07-19
2089,-0.0015160797872340436,10,0.0725754,before leafout,PineNeedle,2022-03-08,2022-03-08
2089,-0.0015160797872340436,29,NA,after leafout,PineNeedle,2022-07-19,2022-07-19
2089,-0.0015160797872340436,14,0.0609999,before leafout,PineNeedle,2022-04-05,2022-04-05
2089,-0.0015160797872340436,17,NA,after leafout,PineNeedle,2022-04-29,2022-04-29
2089,-0.0015160797872340436,19,0.0777709,after leafout,PineNeedle,2022-05-11,2022-05-11
2089,-0.0015160797872340436,11,0.0696476,before leafout,PineNeedle,2022-03-16,2022-03-16
2089,-0.0015160797872340436,37,0.0536205,after leafout,PineNeedle,2022-09-15,2022-09-15
2089,-0.0015160797872340436,15,0.0418836,before leafout,PineNeedle,2022-04-12,2022-04-12
2089,-0.0015160797872340436,21,0.0414787,after leafout,PineNeedle,2022-05-29,2022-05-29
2091,7.33925531914891e-4,10,0.10556,before leafout,PineNeedle,2022-03-08,2022-03-08
2091,7.33925531914891e-4,11,0.104492,before leafout,PineNeedle,2022-03-16,2022-03-16
