tree,slope,week,cwc,time_season,site,date_new,date_wp
1478,-0.011612700000000017,19,0.0505631,after leafout,Cucu Mesa,2022-05-11,2022-05-11
1478,-0.011612700000000017,21,0.0453818,after leafout,Cucu Mesa,2022-05-29,2022-05-29
1478,-0.011612700000000017,15,0.0633957,before leafout,Cucu Mesa,2022-04-12,2022-04-12
1478,-0.011612700000000017,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
1478,-0.011612700000000017,37,0.0806744,after leafout,Cucu Mesa,2022-09-15,2022-09-15
1478,-0.011612700000000017,14,0.098124,before leafout,Cucu Mesa,2022-04-05,2022-04-05
1478,-0.011612700000000017,17,0.0918326,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2004,4.580500000000002e-4,37,0.0171421,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2004,4.580500000000002e-4,17,0.0426235,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2004,4.580500000000002e-4,14,0.0277383,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2004,4.580500000000002e-4,21,0.0444557,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2004,4.580500000000002e-4,15,0.0645346,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2004,4.580500000000002e-4,10,0.107627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.012312850000000023,14,0.0666067,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2005,-0.012312850000000023,15,0.02661,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2005,-0.012312850000000023,10,0.056627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.012312850000000023,17,0.0551155,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2005,-0.012312850000000023,19,0.0233641,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2005,-0.012312850000000023,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2005,-0.012312850000000023,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2005,-0.012312850000000023,21,0.0058641,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2007,-0.011024850000000017,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2007,-0.011024850000000017,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2007,-0.011024850000000017,17,0.0600799,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2007,-0.011024850000000017,15,0.041694,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2007,-0.011024850000000017,21,0.0159805,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2007,-0.011024850000000017,14,0.0630606,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2007,-0.011024850000000017,19,0.0179101,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2007,-0.011024850000000017,10,0.0626829,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2009,8.041628571428597e-4,14,0.0582121,before leafout,Hobbiton,2022-04-05,2022-04-05
