tree,slope,week,water_potential,cwc,time_season,time,site,date_wp,date_new
2004,-0.011862392857142877,15,-2.2,0.0645346,before leafout,md,Cucu Mesa,2022-04-12,2022-04-12
2004,-0.011862392857142877,14,-2.375,0.0277383,before leafout,md,Cucu Mesa,2022-04-05,2022-04-05
2004,-0.011862392857142877,17,-2.62066666666667,0.0426235,after leafout,md,Cucu Mesa,2022-04-29,2022-04-29
2004,-0.011862392857142877,10,-1.65333333333333,0.107627,before leafout,md,Cucu Mesa,2022-03-08,2022-03-08
2004,-0.011862392857142877,21,-2.6858,0.0444557,after leafout,md,Cucu Mesa,2022-05-29,2022-05-29
2004,-0.011862392857142877,37,-3.59033333333333,0.0171421,after leafout,md,Cucu Mesa,2022-09-15,2022-09-15
2005,-0.0035753071428571534,21,-3,0.0058641,after leafout,md,Cucu Mesa,2022-05-29,2022-05-29
2005,-0.0035753071428571534,29,-4.3,NA,after leafout,md,NA,2022-07-19,2022-07-19
2005,-0.0035753071428571534,10,-1.445,0.056627,before leafout,md,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.0035753071428571534,15,-1.61666666666667,0.02661,before leafout,md,Cucu Mesa,2022-04-12,2022-04-12
2005,-0.0035753071428571534,17,-2.733,0.0551155,after leafout,md,Cucu Mesa,2022-04-29,2022-04-29
2005,-0.0035753071428571534,19,-2.49,0.0233641,after leafout,md,Cucu Mesa,2022-05-11,2022-05-11
2005,-0.0035753071428571534,14,-2.125,0.0666067,before leafout,md,Cucu Mesa,2022-04-05,2022-04-05
2005,-0.0035753071428571534,37,-3.5775,0,after leafout,md,Cucu Mesa,2022-09-15,2022-09-15
2006,2.7248571428570534e-4,19,-2.36066666666667,0.0155575,after leafout,md,Cucu Mesa,2022-05-11,2022-05-11
2006,2.7248571428570534e-4,10,-1.40666666666667,0.0668307,before leafout,md,Cucu Mesa,2022-03-08,2022-03-08
2006,2.7248571428570534e-4,15,-1.727,0.0591474,before leafout,md,Cucu Mesa,2022-04-12,2022-04-12
2006,2.7248571428570534e-4,17,-2.717,0.0818919,after leafout,md,Cucu Mesa,2022-04-29,2022-04-29
2006,2.7248571428570534e-4,21,-3.19933333333333,0.0163343,after leafout,md,Cucu Mesa,2022-05-29,2022-05-29
2006,2.7248571428570534e-4,29,-4.46666666666667,NA,after leafout,md,NA,2022-07-19,2022-07-19
2006,2.7248571428570534e-4,37,-2.566,0,after leafout,md,Cucu Mesa,2022-09-15,2022-09-15
2006,2.7248571428570534e-4,14,-2.15,0.0860121,before leafout,md,Cucu Mesa,2022-04-05,2022-04-05
2007,-0.002971435714285724,29,-4.23333333333333,NA,after leafout,md,NA,2022-07-19,2022-07-19
2007,-0.002971435714285724,19,-2.23766666666667,0.0179101,after leafout,md,Cucu Mesa,2022-05-11,2022-05-11
2007,-0.002971435714285724,15,-1.70666666666667,0.041694,before leafout,md,Cucu Mesa,2022-04-12,2022-04-12
2007,-0.002971435714285724,17,-2.42633333333333,0.0600799,after leafout,md,Cucu Mesa,2022-04-29,2022-04-29
2007,-0.002971435714285724,37,-3.4215,0,after leafout,md,Cucu Mesa,2022-09-15,2022-09-15
2007,-0.002971435714285724,10,-1.77,0.0626829,before leafout,md,Cucu Mesa,2022-03-08,2022-03-08
2007,-0.002971435714285724,21,-3.4,0.0159805,after leafout,md,Cucu Mesa,2022-05-29,2022-05-29
2007,-0.002971435714285724,14,-2.1,0.0630606,before leafout,md,Cucu Mesa,2022-04-05,2022-04-05
2009,-0.008660857142857152,14,-2.95,0.0582121,before leafout,md,Hobbiton,2022-04-05,2022-04-05
2009,-0.008660857142857152,12,-2.0625,0.0407137,before leafout,md,Hobbiton,2022-03-22,2022-03-22
2009,-0.008660857142857152,19,-2.83966666666667,0.0109038,after leafout,md,Hobbiton,2022-05-11,2022-05-11
2009,-0.008660857142857152,15,-2.088,0.0060261,before leafout,md,Hobbiton,2022-04-12,2022-04-12
2009,-0.008660857142857152,17,-3.03333333333333,0.0195894,after leafout,md,Hobbiton,2022-04-29,2022-04-29
2009,-0.008660857142857152,18,-2.9542,2.2e-6,after leafout,md,Hobbiton,2022-05-03,2022-05-03
2009,-0.008660857142857152,33,-4.0635,NA,after leafout,md,NA,2022-08-18,2022-08-18
2009,-0.008660857142857152,21,-3.276,0.0171527,after leafout,md,Hobbiton,2022-05-29,2022-05-29
2009,-0.008660857142857152,29,-3.95,NA,after leafout,md,NA,2022-07-19,2022-07-19
2010,-0.012291066666666663,33,-4.2655,NA,after leafout,md,NA,2022-08-18,2022-08-18
2010,-0.012291066666666663,19,-2.285,0,after leafout,md,Weathertop,2022-05-11,2022-05-11
2010,-0.012291066666666663,17,-2.62666666666667,0.0059915,after leafout,md,Weathertop,2022-04-29,2022-04-29
2010,-0.012291066666666663,29,-3.73333333333333,NA,after leafout,md,NA,2022-07-19,2022-07-19
2010,-0.012291066666666663,15,-2.616,0,before leafout,md,Weathertop,2022-04-12,2022-04-12
2010,-0.012291066666666663,12,-1.96,0.0368732,before leafout,md,Weathertop,2022-03-22,2022-03-22
2010,-0.012291066666666663,21,-3.56833333333333,0,after leafout,md,Weathertop,2022-05-29,2022-05-29
2010,-0.012291066666666663,18,-2.44725,0,after leafout,md,Weathertop,2022-05-03,2022-05-03
2020,-0.0017096285714285752,19,-2.22025,0,after leafout,md,Chamise,2022-05-11,2022-05-11
2020,-0.0017096285714285752,21,-2.9805,0,after leafout,md,Chamise,2022-05-29,2022-05-29
2020,-0.0017096285714285752,10,-2.17333333333333,0.0099316,before leafout,md,Chamise,2022-03-08,2022-03-08
2020,-0.0017096285714285752,14,-2.43333333333333,0.00586,before leafout,md,Chamise,2022-04-05,2022-04-05
2020,-0.0017096285714285752,17,-1.781,0.0286135,after leafout,md,Chamise,2022-04-29,2022-04-29
2020,-0.0017096285714285752,29,-3.86666666666667,NA,after leafout,md,NA,2022-07-19,2022-07-19
2020,-0.0017096285714285752,37,-2.643,0,after leafout,md,Chamise,2022-09-15,2022-09-15
2020,-0.0017096285714285752,15,-2.16666666666667,0,before leafout,md,Chamise,2022-04-12,2022-04-12
2021,-0.013237135714285744,14,-2.875,0.0621053,before leafout,md,Chamise,2022-04-05,2022-04-05
2021,-0.013237135714285744,10,-1.87333333333333,0.088121,before leafout,md,Chamise,2022-03-08,2022-03-08
2021,-0.013237135714285744,15,-1.97666666666667,0.0084689,before leafout,md,Chamise,2022-04-12,2022-04-12
2021,-0.013237135714285744,17,-2.14233333333333,0.022745,after leafout,md,Chamise,2022-04-29,2022-04-29
2021,-0.013237135714285744,19,-2.092,0.0147011,after leafout,md,Chamise,2022-05-11,2022-05-11
2021,-0.013237135714285744,21,-3.7402,0.0209294,after leafout,md,Chamise,2022-05-29,2022-05-29
2021,-0.013237135714285744,29,-4.175,NA,after leafout,md,NA,2022-07-19,2022-07-19
2024,-0.011311321428571454,10,-1.685,0.0646295,before leafout,md,Chamise,2022-03-08,2022-03-08
2024,-0.011311321428571454,14,-2.25,0.0355296,before leafout,md,Chamise,2022-04-05,2022-04-05
2024,-0.011311321428571454,21,-2.692,0,after leafout,md,Chamise,2022-05-29,2022-05-29
2024,-0.011311321428571454,29,-4.1,NA,after leafout,md,NA,2022-07-19,2022-07-19
2024,-0.011311321428571454,37,-3.92866666666667,0,after leafout,md,Chamise,2022-09-15,2022-09-15
2024,-0.011311321428571454,19,-2.20733333333333,0.0079378,after leafout,md,Chamise,2022-05-11,2022-05-11
2024,-0.011311321428571454,17,-1.871,0.0472023,after leafout,md,Chamise,2022-04-29,2022-04-29
