tree,slope,week,cwc,time_season,site,date_new,date_wp
1478,-0.002590649999999998,37,0.0806744,after leafout,Cucu Mesa,2022-09-15,2022-09-15
1478,-0.002590649999999998,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
1478,-0.002590649999999998,19,0.0505631,after leafout,Cucu Mesa,2022-05-11,2022-05-11
1478,-0.002590649999999998,21,0.0453818,after leafout,Cucu Mesa,2022-05-29,2022-05-29
1478,-0.002590649999999998,15,0.0633957,before leafout,Cucu Mesa,2022-04-12,2022-04-12
1478,-0.002590649999999998,17,0.0918326,after leafout,Cucu Mesa,2022-04-29,2022-04-29
1478,-0.002590649999999998,14,0.098124,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2005,-0.008749999999999994,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2005,-0.008749999999999994,19,0.0233641,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2005,-0.008749999999999994,10,0.056627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.008749999999999994,17,0.0551155,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2005,-0.008749999999999994,15,0.02661,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2005,-0.008749999999999994,21,0.0058641,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2005,-0.008749999999999994,14,0.0666067,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2005,-0.008749999999999994,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2006,3.8840000000000196e-4,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2006,3.8840000000000196e-4,19,0.0155575,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2006,3.8840000000000196e-4,21,0.0163343,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2006,3.8840000000000196e-4,17,0.0818919,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2006,3.8840000000000196e-4,10,0.0668307,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2006,3.8840000000000196e-4,14,0.0860121,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2006,3.8840000000000196e-4,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2006,3.8840000000000196e-4,15,0.0591474,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2007,-9.647999999999993e-4,14,0.0630606,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2007,-9.647999999999993e-4,17,0.0600799,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2007,-9.647999999999993e-4,15,0.041694,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2007,-9.647999999999993e-4,21,0.0159805,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2007,-9.647999999999993e-4,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2007,-9.647999999999993e-4,19,0.0179101,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2007,-9.647999999999993e-4,10,0.0626829,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2007,-9.647999999999993e-4,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2009,0.005346492857142864,21,0.0171527,after leafout,Hobbiton,2022-05-29,2022-05-29
2009,0.005346492857142864,19,0.0109038,after leafout,Hobbiton,2022-05-11,2022-05-11
2009,0.005346492857142864,37,0,after leafout,Hobbiton,2022-09-15,2022-09-15
2009,0.005346492857142864,12,0.0407137,before leafout,Hobbiton,2022-03-22,2022-03-22
2009,0.005346492857142864,29,NA,after leafout,Hobbiton,2022-07-19,2022-07-19
2009,0.005346492857142864,15,0.0060261,before leafout,Hobbiton,2022-04-12,2022-04-12
2009,0.005346492857142864,14,0.0582121,before leafout,Hobbiton,2022-04-05,2022-04-05
2009,0.005346492857142864,18,2.2e-6,after leafout,Hobbiton,2022-05-03,2022-05-03
2009,0.005346492857142864,33,NA,after leafout,Hobbiton,2022-08-18,2022-08-18
2009,0.005346492857142864,17,0.0195894,after leafout,Hobbiton,2022-04-29,2022-04-29
2010,-0,37,0,after leafout,Weathertop,2022-09-15,2022-09-15
2010,-0,33,NA,after leafout,Weathertop,2022-08-18,2022-08-18
2010,-0,21,0,after leafout,Weathertop,2022-05-29,2022-05-29
2010,-0,12,0.0368732,before leafout,Weathertop,2022-03-22,2022-03-22
2010,-0,15,0,before leafout,Weathertop,2022-04-12,2022-04-12
2010,-0,17,0.0059915,after leafout,Weathertop,2022-04-29,2022-04-29
2010,-0,19,0,after leafout,Weathertop,2022-05-11,2022-05-11
2010,-0,14,0.0457743,before leafout,Weathertop,2022-04-05,2022-04-05
2010,-0,29,NA,after leafout,Weathertop,2022-07-19,2022-07-19
2010,-0,18,0,after leafout,Weathertop,2022-05-03,2022-05-03
2011,-0.002516471428571458,18,0.0091785,after leafout,Weathertop,2022-05-03,2022-05-03
2011,-0.002516471428571458,17,0.019963,after leafout,Weathertop,2022-04-29,2022-04-29
2011,-0.002516471428571458,15,0.0348477,before leafout,Weathertop,2022-04-12,2022-04-12
2011,-0.002516471428571458,14,0.0647117,before leafout,Weathertop,2022-04-05,2022-04-05
2011,-0.002516471428571458,19,0.0388116,after leafout,Weathertop,2022-05-11,2022-05-11
2011,-0.002516471428571458,33,NA,after leafout,Weathertop,2022-08-18,2022-08-18
2011,-0.002516471428571458,21,0.008059,after leafout,Weathertop,2022-05-29,2022-05-29
2011,-0.002516471428571458,29,NA,after leafout,Weathertop,2022-07-19,2022-07-19
2011,-0.002516471428571458,37,0,after leafout,Weathertop,2022-09-15,2022-09-15
2012,-0.007076499999999997,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2012,-0.007076499999999997,19,0.014153,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2012,-0.007076499999999997,37,0.0139964,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2012,-0.007076499999999997,14,0.0586781,before leafout,Cucu Mesa,2022-04-05,2022-04-05
