tree,slope,week,cwc,time_season,site,date_new,date_wp
1478,-8.323393602225316e-5,37,0.0806744,after leafout,Cucu Mesa,2022-09-15,2022-09-15
1478,-8.323393602225316e-5,19,0.0505631,after leafout,Cucu Mesa,2022-05-11,2022-05-11
1478,-8.323393602225316e-5,17,0.0918326,after leafout,Cucu Mesa,2022-04-29,2022-04-29
1478,-8.323393602225316e-5,21,0.0453818,after leafout,Cucu Mesa,2022-05-29,2022-05-29
1478,-8.323393602225316e-5,15,0.0633957,before leafout,Cucu Mesa,2022-04-12,2022-04-12
1478,-8.323393602225316e-5,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
1478,-8.323393602225316e-5,14,0.098124,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2004,-0.0023199354625550667,10,0.107627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2004,-0.0023199354625550667,14,0.0277383,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2004,-0.0023199354625550667,21,0.0444557,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2004,-0.0023199354625550667,17,0.0426235,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2004,-0.0023199354625550667,15,0.0645346,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2004,-0.0023199354625550667,37,0.0171421,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2005,-0.0023075314977973557,21,0.0058641,after leafout,Cucu Mesa,2022-05-29,2022-05-29
2005,-0.0023075314977973557,10,0.056627,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2005,-0.0023075314977973557,15,0.02661,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2005,-0.0023075314977973557,14,0.0666067,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2005,-0.0023075314977973557,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2005,-0.0023075314977973557,17,0.0551155,after leafout,Cucu Mesa,2022-04-29,2022-04-29
2005,-0.0023075314977973557,19,0.0233641,after leafout,Cucu Mesa,2022-05-11,2022-05-11
2005,-0.0023075314977973557,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2006,-0.0030820299559471357,29,NA,after leafout,Cucu Mesa,2022-07-19,2022-07-19
2006,-0.0030820299559471357,15,0.0591474,before leafout,Cucu Mesa,2022-04-12,2022-04-12
2006,-0.0030820299559471357,14,0.0860121,before leafout,Cucu Mesa,2022-04-05,2022-04-05
2006,-0.0030820299559471357,10,0.0668307,before leafout,Cucu Mesa,2022-03-08,2022-03-08
2006,-0.0030820299559471357,37,0,after leafout,Cucu Mesa,2022-09-15,2022-09-15
2006,-0.0030820299559471357,21,0.0163343,after leafout,Cucu Mesa,2022-05-29,2022-05-29
