tree,slope,week,date_wp,cwc,time_season
2022,0.001011102589641434,14,2022-04-04,0.0652834,before leafout
2022,0.001011102589641434,17,2022-04-25,0.0260983,after leafout
2022,0.001011102589641434,19,2022-05-09,0.0110758,after leafout
2022,0.001011102589641434,10,2022-03-08,0.0771133,before leafout
2022,0.001011102589641434,29,2022-07-19,NA,after leafout
2022,0.001011102589641434,37,2022-09-15,0.0350568,after leafout
2022,0.001011102589641434,21,2022-05-23,0,after leafout
2023,-4.7707470119521893e-4,37,2022-09-15,6e-7,after leafout
2023,-4.7707470119521893e-4,29,2022-07-19,NA,after leafout
2023,-4.7707470119521893e-4,10,2022-03-08,0.0451304,before leafout
2023,-4.7707470119521893e-4,17,2022-04-25,0,after leafout
2023,-4.7707470119521893e-4,19,2022-05-09,0.0186733,after leafout
2023,-4.7707470119521893e-4,21,2022-05-23,0.0142896,after leafout
2023,-4.7707470119521893e-4,14,2022-04-04,0.0834795,before leafout
2029,7.653679282868522e-4,19,2022-05-09,0.0317506,after leafout
2029,7.653679282868522e-4,29,2022-07-19,NA,after leafout
2029,7.653679282868522e-4,14,2022-04-04,0.0642989,before leafout
2029,7.653679282868522e-4,17,2022-04-25,0.0627055,after leafout
2029,7.653679282868522e-4,37,2022-09-15,0.0642643,after leafout
2029,7.653679282868522e-4,21,2022-05-23,0.0499989,after leafout
2030,-0.0011749115537848605,17,2022-04-25,0.0510859,after leafout
2030,-0.0011749115537848605,19,2022-05-09,0.0367229,after leafout
2030,-0.0011749115537848605,14,2022-04-04,0.0328956,before leafout
2030,-0.0011749115537848605,37,2022-09-15,0.0216486,after leafout
2030,-0.0011749115537848605,29,2022-07-19,NA,after leafout
2030,-0.0011749115537848605,21,2022-05-23,0.035939,after leafout
2089,-5.359979452054795e-4,29,2022-07-19,NA,after leafout
2089,-5.359979452054795e-4,17,2022-04-25,NA,after leafout
2089,-5.359979452054795e-4,10,2022-03-08,0.0725754,before leafout
2089,-5.359979452054795e-4,14,2022-04-04,0.0609999,before leafout
2089,-5.359979452054795e-4,15,2022-04-11,0.0418836,before leafout
2089,-5.359979452054795e-4,19,2022-05-09,0.0777709,after leafout
2089,-5.359979452054795e-4,21,2022-05-23,0.0414787,after leafout
2089,-5.359979452054795e-4,37,2022-09-15,0.0536205,after leafout
2091,0.002089767808219176,14,2022-04-04,0.130621,before leafout
2091,0.002089767808219176,10,2022-03-08,0.10556,before leafout
2091,0.002089767808219176,19,2022-05-09,0.106451,after leafout
2091,0.002089767808219176,21,2022-05-23,0.119929,after leafout
2091,0.002089767808219176,15,2022-04-11,0.0919045,before leafout
2091,0.002089767808219176,17,2022-04-25,NA,after leafout
2091,0.002089767808219176,29,2022-07-19,NA,after leafout
2091,0.002089767808219176,37,2022-09-15,0.1478956,after leafout
2092,-4.8181198630137105e-4,15,2022-04-11,0.0232444,before leafout
2092,-4.8181198630137105e-4,17,2022-04-25,NA,after leafout
2092,-4.8181198630137105e-4,29,2022-07-19,NA,after leafout
2092,-4.8181198630137105e-4,37,2022-09-15,0.0211707,after leafout
2092,-4.8181198630137105e-4,19,2022-05-09,0.0204449,after leafout
2092,-4.8181198630137105e-4,21,2022-05-23,0.042306,after leafout
2092,-4.8181198630137105e-4,10,2022-03-08,0,before leafout
2092,-4.8181198630137105e-4,14,2022-04-04,0.0722144,before leafout
2093,0.001389303767123287,37,2022-09-15,0.0696553,after leafout
2093,0.001389303767123287,15,2022-04-11,0.0226075,before leafout
2093,0.001389303767123287,17,2022-04-25,NA,after leafout
2093,0.001389303767123287,10,2022-03-08,0.0586179,before leafout
2093,0.001389303767123287,14,2022-04-04,0.0740236,before leafout
2093,0.001389303767123287,29,2022-07-19,NA,after leafout
2093,0.001389303767123287,19,2022-05-09,0.0365511,after leafout
2093,0.001389303767123287,21,2022-05-23,0.0589932,after leafout
2301,-7.311054505813957e-4,10,2022-03-08,0.105351,before leafout
2301,-7.311054505813957e-4,33,2022-08-18,NA,after leafout
2301,-7.311054505813957e-4,18,2022-05-04,0.0557414,after leafout
2301,-7.311054505813957e-4,19,2022-05-09,0.0398382,after leafout
2301,-7.311054505813957e-4,21,2022-05-23,0.0438012,after leafout
2301,-7.311054505813957e-4,29,2022-07-19,NA,after leafout
2301,-7.311054505813957e-4,14,2022-04-06,0.0827618,before leafout
2301,-7.311054505813957e-4,37,2022-09-15,0.0386009,after leafout
2301,-7.311054505813957e-4,14,2022-03-30,0.0827618,before leafout
2301,-7.311054505813957e-4,12,2022-03-25,0.0713338,before leafout
2301,-7.311054505813957e-4,15,2022-04-11,0.0358593,before leafout
2301,-7.311054505813957e-4,14,2022-04-04,0.0827618,before leafout
2301,-7.311054505813957e-4,15,2022-04-13,0.0358593,before leafout
2301,-7.311054505813957e-4,17,2022-04-25,0.0597666,after leafout
2331,1.454897529069767e-4,37,2022-09-15,0.0055023,after leafout
2331,1.454897529069767e-4,12,2022-03-25,0.0571093,before leafout
2331,1.454897529069767e-4,14,2022-04-06,0.0618328,before leafout
2331,1.454897529069767e-4,14,2022-03-30,0.0618328,before leafout
2331,1.454897529069767e-4,10,2022-03-08,0.0808372,before leafout
2331,1.454897529069767e-4,29,2022-07-19,NA,after leafout
2331,1.454897529069767e-4,33,2022-08-18,NA,after leafout
2331,1.454897529069767e-4,17,2022-04-25,0.007462,after leafout
2331,1.454897529069767e-4,18,2022-05-04,0,after leafout
2331,1.454897529069767e-4,15,2022-04-13,0.0268911,before leafout
2331,1.454897529069767e-4,15,2022-04-11,0.0268911,before leafout
2331,1.454897529069767e-4,19,2022-05-09,0,after leafout
2331,1.454897529069767e-4,21,2022-05-23,0,after leafout
2345,0.0010814855377906981,29,2022-07-19,NA,after leafout
2345,0.0010814855377906981,10,2022-03-08,0.0815203,before leafout
2345,0.0010814855377906981,14,2022-04-04,0.085,before leafout
2345,0.0010814855377906981,14,2022-03-30,0.085,before leafout
2345,0.0010814855377906981,12,2022-03-25,0.0641068,before leafout
