tree,slope,week,date_wp,cwc,time_season
2022,-0.002957474999999991,14,2022-04-04,0.0652834,before leafout
2022,-0.002957474999999991,17,2022-04-25,0.0260983,after leafout
2022,-0.002957474999999991,10,2022-03-08,0.0771133,before leafout
2022,-0.002957474999999991,29,2022-07-19,NA,after leafout
2022,-0.002957474999999991,37,2022-09-15,0.0350568,after leafout
2022,-0.002957474999999991,19,2022-05-09,0.0110758,after leafout
2022,-0.002957474999999991,21,2022-05-23,0,after leafout
2089,-0.0052113642857143,37,2022-09-15,0.0536205,after leafout
2089,-0.0052113642857143,19,2022-05-09,0.0777709,after leafout
2089,-0.0052113642857143,29,2022-07-19,NA,after leafout
2089,-0.0052113642857143,21,2022-05-23,0.0414787,after leafout
2089,-0.0052113642857143,17,2022-04-25,NA,after leafout
2089,-0.0052113642857143,10,2022-03-08,0.0725754,before leafout
2089,-0.0052113642857143,14,2022-04-04,0.0609999,before leafout
2089,-0.0052113642857143,15,2022-04-11,0.0418836,before leafout
2091,-1.6071428571429964e-4,21,2022-05-23,0.119929,after leafout
2091,-1.6071428571429964e-4,29,2022-07-19,NA,after leafout
2091,-1.6071428571429964e-4,37,2022-09-15,0.1478956,after leafout
2091,-1.6071428571429964e-4,17,2022-04-25,NA,after leafout
2091,-1.6071428571429964e-4,10,2022-03-08,0.10556,before leafout
2091,-1.6071428571429964e-4,14,2022-04-04,0.130621,before leafout
2091,-1.6071428571429964e-4,15,2022-04-11,0.0919045,before leafout
2091,-1.6071428571429964e-4,19,2022-05-09,0.106451,after leafout
2093,-0.004043935714285729,21,2022-05-23,0.0589932,after leafout
2093,-0.004043935714285729,37,2022-09-15,0.0696553,after leafout
2093,-0.004043935714285729,17,2022-04-25,NA,after leafout
2093,-0.004043935714285729,19,2022-05-09,0.0365511,after leafout
2093,-0.004043935714285729,29,2022-07-19,NA,after leafout
2093,-0.004043935714285729,15,2022-04-11,0.0226075,before leafout
2093,-0.004043935714285729,10,2022-03-08,0.0586179,before leafout
2093,-0.004043935714285729,14,2022-04-04,0.0740236,before leafout
2301,-0.010577650724637672,19,2022-05-09,0.0398382,after leafout
2301,-0.010577650724637672,18,2022-05-04,0.0557414,after leafout
2301,-0.010577650724637672,17,2022-04-25,0.0597666,after leafout
2301,-0.010577650724637672,21,2022-05-23,0.0438012,after leafout
2301,-0.010577650724637672,29,2022-07-19,NA,after leafout
2301,-0.010577650724637672,33,2022-08-18,NA,after leafout
2301,-0.010577650724637672,14,2022-04-04,0.0827618,before leafout
2301,-0.010577650724637672,10,2022-03-08,0.105351,before leafout
