tree,slope,week,date_wp,cwc,time_season
2022,-0.005537899999999998,21,2022-05-23,0,after leafout
2022,-0.005537899999999998,17,2022-04-25,0.0260983,after leafout
2022,-0.005537899999999998,19,2022-05-09,0.0110758,after leafout
2022,-0.005537899999999998,10,2022-03-08,0.0771133,before leafout
2022,-0.005537899999999998,14,2022-04-04,0.0652834,before leafout
2022,-0.005537899999999998,29,2022-07-19,NA,after leafout
2022,-0.005537899999999998,37,2022-09-15,0.0350568,after leafout
2023,-0.002191849999999999,14,2022-04-04,0.0834795,before leafout
2023,-0.002191849999999999,37,2022-09-15,6e-7,after leafout
2023,-0.002191849999999999,29,2022-07-19,NA,after leafout
2023,-0.002191849999999999,17,2022-04-25,0,after leafout
2023,-0.002191849999999999,10,2022-03-08,0.0451304,before leafout
2023,-0.002191849999999999,19,2022-05-09,0.0186733,after leafout
2023,-0.002191849999999999,21,2022-05-23,0.0142896,after leafout
2029,0.00912415,37,2022-09-15,0.0642643,after leafout
2029,0.00912415,29,2022-07-19,NA,after leafout
2029,0.00912415,14,2022-04-04,0.0642989,before leafout
2029,0.00912415,17,2022-04-25,0.0627055,after leafout
2029,0.00912415,19,2022-05-09,0.0317506,after leafout
2029,0.00912415,21,2022-05-23,0.0499989,after leafout
2030,-3.9195000000000153e-4,14,2022-04-04,0.0328956,before leafout
2030,-3.9195000000000153e-4,17,2022-04-25,0.0510859,after leafout
2030,-3.9195000000000153e-4,19,2022-05-09,0.0367229,after leafout
2030,-3.9195000000000153e-4,21,2022-05-23,0.035939,after leafout
2030,-3.9195000000000153e-4,29,2022-07-19,NA,after leafout
2030,-3.9195000000000153e-4,37,2022-09-15,0.0216486,after leafout
2089,-0.018146099999999984,15,2022-04-11,0.0418836,before leafout
2089,-0.018146099999999984,10,2022-03-08,0.0725754,before leafout
2089,-0.018146099999999984,14,2022-04-04,0.0609999,before leafout
2089,-0.018146099999999984,19,2022-05-09,0.0777709,after leafout
2089,-0.018146099999999984,29,2022-07-19,NA,after leafout
2089,-0.018146099999999984,37,2022-09-15,0.0536205,after leafout
2089,-0.018146099999999984,17,2022-04-25,NA,after leafout
2089,-0.018146099999999984,21,2022-05-23,0.0414787,after leafout
2091,0.00673900000000001,37,2022-09-15,0.1478956,after leafout
2091,0.00673900000000001,14,2022-04-04,0.130621,before leafout
2091,0.00673900000000001,15,2022-04-11,0.0919045,before leafout
2091,0.00673900000000001,29,2022-07-19,NA,after leafout
2091,0.00673900000000001,21,2022-05-23,0.119929,after leafout
2091,0.00673900000000001,17,2022-04-25,NA,after leafout
2091,0.00673900000000001,10,2022-03-08,0.10556,before leafout
2091,0.00673900000000001,19,2022-05-09,0.106451,after leafout
2092,0.01093055,17,2022-04-25,NA,after leafout
2092,0.01093055,19,2022-05-09,0.0204449,after leafout
2092,0.01093055,10,2022-03-08,0,before leafout
2092,0.01093055,15,2022-04-11,0.0232444,before leafout
2092,0.01093055,14,2022-04-04,0.0722144,before leafout
2092,0.01093055,37,2022-09-15,0.0211707,after leafout
2092,0.01093055,21,2022-05-23,0.042306,after leafout
2092,0.01093055,29,2022-07-19,NA,after leafout
2093,0.01122105,29,2022-07-19,NA,after leafout
2093,0.01122105,21,2022-05-23,0.0589932,after leafout
2093,0.01122105,10,2022-03-08,0.0586179,before leafout
2093,0.01122105,37,2022-09-15,0.0696553,after leafout
2093,0.01122105,19,2022-05-09,0.0365511,after leafout
2093,0.01122105,17,2022-04-25,NA,after leafout
2093,0.01122105,14,2022-04-04,0.0740236,before leafout
2093,0.01122105,15,2022-04-11,0.0226075,before leafout
2301,-0.0031284142857142916,21,2022-05-23,0.0438012,after leafout
2301,-0.0031284142857142916,29,2022-07-19,NA,after leafout
2301,-0.0031284142857142916,12,2022-03-25,0.0713338,before leafout
2301,-0.0031284142857142916,17,2022-04-25,0.0597666,after leafout
2301,-0.0031284142857142916,37,2022-09-15,0.0386009,after leafout
2301,-0.0031284142857142916,19,2022-05-09,0.0398382,after leafout
2301,-0.0031284142857142916,18,2022-05-04,0.0557414,after leafout
2301,-0.0031284142857142916,14,2022-04-06,0.0827618,before leafout
2301,-0.0031284142857142916,14,2022-04-04,0.0827618,before leafout
2301,-0.0031284142857142916,10,2022-03-08,0.105351,before leafout
2301,-0.0031284142857142916,15,2022-04-13,0.0358593,before leafout
2301,-0.0031284142857142916,15,2022-04-11,0.0358593,before leafout
2301,-0.0031284142857142916,33,2022-08-18,NA,after leafout
2301,-0.0031284142857142916,14,2022-03-30,0.0827618,before leafout
2331,-0,33,2022-08-18,NA,after leafout
2331,-0,37,2022-09-15,0.0055023,after leafout
2331,-0,10,2022-03-08,0.0808372,before leafout
2331,-0,14,2022-03-30,0.0618328,before leafout
2331,-0,12,2022-03-25,0.0571093,before leafout
2331,-0,29,2022-07-19,NA,after leafout
2331,-0,21,2022-05-23,0,after leafout
2331,-0,18,2022-05-04,0,after leafout
2331,-0,15,2022-04-13,0.0268911,before leafout
2331,-0,15,2022-04-11,0.0268911,before leafout
2331,-0,19,2022-05-09,0,after leafout
2331,-0,14,2022-04-06,0.0618328,before leafout
2331,-0,17,2022-04-25,0.007462,after leafout
2345,0.004097321428571427,29,2022-07-19,NA,after leafout
2345,0.004097321428571427,10,2022-03-08,0.0815203,before leafout
2345,0.004097321428571427,21,2022-05-23,0.0466964,after leafout
2345,0.004097321428571427,14,2022-04-06,0.085,before leafout
2345,0.004097321428571427,33,2022-08-18,NA,after leafout
2345,0.004097321428571427,12,2022-03-25,0.0641068,before leafout
2345,0.004097321428571427,14,2022-03-30,0.085,before leafout
2345,0.004097321428571427,15,2022-04-13,0.0464891,before leafout
2345,0.004097321428571427,37,2022-09-15,0.0584446,after leafout
2345,0.004097321428571427,19,2022-05-09,0.0447855,after leafout
2345,0.004097321428571427,18,2022-05-04,0.0328335,after leafout
2345,0.004097321428571427,15,2022-04-11,0.0464891,before leafout
2345,0.004097321428571427,14,2022-04-04,0.085,before leafout
2345,0.004097321428571427,17,2022-04-25,0.0358432,after leafout
2352,-0.004388600000000009,21,2022-05-23,0.0140243,after leafout
2352,-0.004388600000000009,37,2022-09-15,0.0037738,after leafout
2352,-0.004388600000000009,10,2022-03-08,0.116675,before leafout
2352,-0.004388600000000009,29,2022-07-19,NA,after leafout
2352,-0.004388600000000009,33,2022-08-18,NA,after leafout
2352,-0.004388600000000009,19,2022-05-09,0.0196147,after leafout
2352,-0.004388600000000009,14,2022-04-06,0.0890889,before leafout
2352,-0.004388600000000009,14,2022-03-30,0.0890889,before leafout
2352,-0.004388600000000009,15,2022-04-13,0.0282111,before leafout
2352,-0.004388600000000009,18,2022-05-04,0.0279868,after leafout
2352,-0.004388600000000009,17,2022-04-25,0.039718,after leafout
2352,-0.004388600000000009,12,2022-03-25,0.107653,before leafout
2352,-0.004388600000000009,15,2022-04-11,0.0282111,before leafout
2354,-0.007036442857142868,19,2022-05-09,0.0285582,after leafout
2354,-0.007036442857142868,21,2022-05-23,0.0207756,after leafout
2354,-0.007036442857142868,29,2022-07-19,NA,after leafout
2354,-0.007036442857142868,33,2022-08-18,NA,after leafout
2354,-0.007036442857142868,37,2022-09-15,0,after leafout
2354,-0.007036442857142868,14,2022-03-30,0.0747563,before leafout
2354,-0.007036442857142868,10,2022-03-08,0.0710839,before leafout
2354,-0.007036442857142868,12,2022-03-25,0.0947559,before leafout
2354,-0.007036442857142868,14,2022-04-06,0.0747563,before leafout
2354,-0.007036442857142868,18,2022-05-04,0.0434575,after leafout
2354,-0.007036442857142868,15,2022-04-13,0.0241116,before leafout
2354,-0.007036442857142868,15,2022-04-11,0.0241116,before leafout
2354,-0.007036442857142868,17,2022-04-25,0.0462138,after leafout
2377,-0.005321528571428598,19,2022-05-09,0.0278165,after leafout
2377,-0.005321528571428598,21,2022-05-23,2.3e-6,after leafout
2377,-0.005321528571428598,29,2022-07-19,NA,after leafout
2377,-0.005321528571428598,33,2022-08-18,NA,after leafout
2377,-0.005321528571428598,37,2022-09-15,8.81e-5,after leafout
2377,-0.005321528571428598,10,2022-03-08,0.0654164,before leafout
2377,-0.005321528571428598,12,2022-03-25,0.0609267,before leafout
2377,-0.005321528571428598,14,2022-04-06,0.0608625,before leafout
2377,-0.005321528571428598,14,2022-03-30,0.0608625,before leafout
2377,-0.005321528571428598,15,2022-04-13,0.0025902,before leafout
2377,-0.005321528571428598,15,2022-04-11,0.0025902,before leafout
2377,-0.005321528571428598,17,2022-04-25,0.00286,after leafout
2377,-0.005321528571428598,18,2022-05-04,0.0116741,after leafout
2380,0.007444107142857142,33,2022-08-18,NA,after leafout
2380,0.007444107142857142,37,2022-09-15,0.0453778,after leafout
2380,0.007444107142857142,12,2022-03-25,0.0617915,before leafout
2380,0.007444107142857142,10,2022-03-08,0.0790987,before leafout
2380,0.007444107142857142,29,2022-07-19,NA,after leafout
2380,0.007444107142857142,15,2022-04-13,0.0173736,before leafout
2380,0.007444107142857142,21,2022-05-23,0.0543145,after leafout
2380,0.007444107142857142,19,2022-05-09,0.0575642,after leafout
2380,0.007444107142857142,15,2022-04-11,0.0173736,before leafout
2380,0.007444107142857142,14,2022-04-06,0.0480186,before leafout
2380,0.007444107142857142,14,2022-03-30,0.0480186,before leafout
2380,0.007444107142857142,17,2022-04-25,0.0356038,after leafout
2380,0.007444107142857142,18,2022-05-04,0.0274477,after leafout
