tree,slope,week,date_wp,cwc,time_season
1478,-8.323393602225316e-5,21,2022-05-23,0.0453818,after leafout
1478,-8.323393602225316e-5,15,2022-04-13,0.0633957,before leafout
1478,-8.323393602225316e-5,19,2022-05-09,0.0505631,after leafout
1478,-8.323393602225316e-5,37,2022-09-15,0.0806744,after leafout
1478,-8.323393602225316e-5,17,2022-04-25,0.0918326,after leafout
1478,-8.323393602225316e-5,29,2022-07-19,NA,after leafout
1478,-8.323393602225316e-5,14,2022-04-04,0.098124,before leafout
2004,-0.0023199354625550667,14,2022-04-04,0.0277383,before leafout
2004,-0.0023199354625550667,10,2022-03-08,0.107627,before leafout
2004,-0.0023199354625550667,37,2022-09-15,0.0171421,after leafout
2004,-0.0023199354625550667,21,2022-05-23,0.0444557,after leafout
2004,-0.0023199354625550667,17,2022-04-25,0.0426235,after leafout
2004,-0.0023199354625550667,15,2022-04-13,0.0645346,before leafout
2005,-0.0023075314977973557,29,2022-07-19,NA,after leafout
2005,-0.0023075314977973557,10,2022-03-08,0.056627,before leafout
2005,-0.0023075314977973557,21,2022-05-23,0.0058641,after leafout
2005,-0.0023075314977973557,37,2022-09-15,0,after leafout
2005,-0.0023075314977973557,19,2022-05-09,0.0233641,after leafout
2005,-0.0023075314977973557,17,2022-04-25,0.0551155,after leafout
2005,-0.0023075314977973557,15,2022-04-13,0.02661,before leafout
2005,-0.0023075314977973557,14,2022-04-04,0.0666067,before leafout
2006,-0.0030820299559471357,21,2022-05-23,0.0163343,after leafout
2006,-0.0030820299559471357,29,2022-07-19,NA,after leafout
2006,-0.0030820299559471357,17,2022-04-25,0.0818919,after leafout
2006,-0.0030820299559471357,10,2022-03-08,0.0668307,before leafout
2006,-0.0030820299559471357,15,2022-04-13,0.0591474,before leafout
2006,-0.0030820299559471357,19,2022-05-09,0.0155575,after leafout
2006,-0.0030820299559471357,37,2022-09-15,0,after leafout
2006,-0.0030820299559471357,14,2022-04-04,0.0860121,before leafout
2007,-0.0024987310572687216,14,2022-04-04,0.0630606,before leafout
2007,-0.0024987310572687216,10,2022-03-08,0.0626829,before leafout
2007,-0.0024987310572687216,19,2022-05-09,0.0179101,after leafout
2007,-0.0024987310572687216,29,2022-07-19,NA,after leafout
2007,-0.0024987310572687216,15,2022-04-13,0.041694,before leafout
2007,-0.0024987310572687216,21,2022-05-23,0.0159805,after leafout
2007,-0.0024987310572687216,37,2022-09-15,0,after leafout
2007,-0.0024987310572687216,17,2022-04-25,0.0600799,after leafout
2009,-0.0016318416520979026,17,2022-04-25,0.0195894,after leafout
2009,-0.0016318416520979026,15,2022-04-13,0.0060261,before leafout
2009,-0.0016318416520979026,15,2022-04-11,0.0060261,before leafout
2009,-0.0016318416520979026,14,2022-03-30,0.0582121,before leafout
2009,-0.0016318416520979026,18,2022-05-04,2.2e-6,after leafout
2009,-0.0016318416520979026,37,2022-09-15,0,after leafout
2009,-0.0016318416520979026,21,2022-05-23,0.0171527,after leafout
2009,-0.0016318416520979026,14,2022-04-06,0.0582121,before leafout
2009,-0.0016318416520979026,33,2022-08-18,NA,after leafout
2009,-0.0016318416520979026,29,2022-07-19,NA,after leafout
2009,-0.0016318416520979026,12,2022-03-25,0.0407137,before leafout
2009,-0.0016318416520979026,19,2022-05-09,0.0109038,after leafout
2010,-0.0010717364535768647,14,2022-03-30,0.0457743,before leafout
2010,-0.0010717364535768647,21,2022-05-23,0,after leafout
2010,-0.0010717364535768647,33,2022-08-18,NA,after leafout
2010,-0.0010717364535768647,15,2022-04-13,0,before leafout
2010,-0.0010717364535768647,15,2022-04-11,0,before leafout
2010,-0.0010717364535768647,29,2022-07-19,NA,after leafout
2010,-0.0010717364535768647,19,2022-05-09,0,after leafout
2010,-0.0010717364535768647,12,2022-03-25,0.0368732,before leafout
2010,-0.0010717364535768647,18,2022-05-04,0,after leafout
2010,-0.0010717364535768647,17,2022-04-25,0.0059915,after leafout
2010,-0.0010717364535768647,37,2022-09-15,0,after leafout
2011,-0.002237502678093198,29,2022-07-19,NA,after leafout
2011,-0.002237502678093198,15,2022-04-13,0.0348477,before leafout
2011,-0.002237502678093198,19,2022-05-09,0.0388116,after leafout
2011,-0.002237502678093198,21,2022-05-23,0.008059,after leafout
2011,-0.002237502678093198,18,2022-05-04,0.0091785,after leafout
2011,-0.002237502678093198,33,2022-08-18,NA,after leafout
2011,-0.002237502678093198,17,2022-04-25,0.019963,after leafout
2011,-0.002237502678093198,37,2022-09-15,0,after leafout
2011,-0.002237502678093198,14,2022-04-04,0.0647117,before leafout
2011,-0.002237502678093198,15,2022-04-11,0.0348477,before leafout
2011,-0.002237502678093198,14,2022-04-06,0.0647117,before leafout
2012,-0.0014507824756606399,15,2022-04-13,0.038282,before leafout
2012,-0.0014507824756606399,21,2022-05-23,0,after leafout
2012,-0.0014507824756606399,37,2022-09-15,0.0139964,after leafout
2012,-0.0014507824756606399,19,2022-05-09,0.014153,after leafout
2012,-0.0014507824756606399,29,2022-07-19,NA,after leafout
2012,-0.0014507824756606399,14,2022-04-04,0.0586781,before leafout
2012,-0.0014507824756606399,17,2022-04-25,0.0398025,after leafout
2015,-6.009764951321274e-4,29,2022-07-19,NA,after leafout
2015,-6.009764951321274e-4,15,2022-04-13,1e-7,before leafout
2015,-6.009764951321274e-4,14,2022-04-04,0.0587953,before leafout
2015,-6.009764951321274e-4,17,2022-04-25,0,after leafout
2015,-6.009764951321274e-4,37,2022-09-15,0.0097163,after leafout
2015,-6.009764951321274e-4,21,2022-05-23,0.0116,after leafout
2015,-6.009764951321274e-4,19,2022-05-09,0,after leafout
2020,-3.8747004405286325e-4,10,2022-03-08,0.0099316,before leafout
2020,-3.8747004405286325e-4,14,2022-04-04,0.00586,before leafout
2020,-3.8747004405286325e-4,15,2022-04-13,0,before leafout
2020,-3.8747004405286325e-4,17,2022-04-25,0.0286135,after leafout
2020,-3.8747004405286325e-4,19,2022-05-09,0,after leafout
2020,-3.8747004405286325e-4,21,2022-05-23,0,after leafout
2020,-3.8747004405286325e-4,29,2022-07-19,NA,after leafout
2020,-3.8747004405286325e-4,37,2022-09-15,0,after leafout
2021,-0.002513485242290749,21,2022-05-23,0.0209294,after leafout
2021,-0.002513485242290749,14,2022-04-04,0.0621053,before leafout
2021,-0.002513485242290749,10,2022-03-08,0.088121,before leafout
2021,-0.002513485242290749,29,2022-07-19,NA,after leafout
2021,-0.002513485242290749,17,2022-04-25,0.022745,after leafout
2021,-0.002513485242290749,37,2022-09-15,0,after leafout
2021,-0.002513485242290749,19,2022-05-09,0.0147011,after leafout
2021,-0.002513485242290749,15,2022-04-13,0.0084689,before leafout
2024,-0.0018804381057268727,10,2022-03-08,0.0646295,before leafout
2024,-0.0018804381057268727,17,2022-04-25,0.0472023,after leafout
2024,-0.0018804381057268727,15,2022-04-13,2e-7,before leafout
2024,-0.0018804381057268727,37,2022-09-15,0,after leafout
2024,-0.0018804381057268727,14,2022-04-04,0.0355296,before leafout
2024,-0.0018804381057268727,21,2022-05-23,0,after leafout
2024,-0.0018804381057268727,29,2022-07-19,NA,after leafout
2024,-0.0018804381057268727,19,2022-05-09,0.0079378,after leafout
2025,-0.0019143314977973565,14,2022-04-04,0.0605638,before leafout
2025,-0.0019143314977973565,21,2022-05-23,0.0170609,after leafout
2025,-0.0019143314977973565,15,2022-04-13,0.0061813,before leafout
2025,-0.0019143314977973565,19,2022-05-09,0.0226033,after leafout
2025,-0.0019143314977973565,10,2022-03-08,0.0585263,before leafout
2025,-0.0019143314977973565,17,2022-04-25,0.0244737,after leafout
2025,-0.0019143314977973565,37,2022-09-15,0,after leafout
2025,-0.0019143314977973565,29,2022-07-19,NA,after leafout
2026,-8.428792951541848e-4,14,2022-04-04,0.0264174,before leafout
2026,-8.428792951541848e-4,37,2022-09-15,0,after leafout
2026,-8.428792951541848e-4,21,2022-05-23,0,after leafout
2026,-8.428792951541848e-4,10,2022-03-08,0.0198936,before leafout
2026,-8.428792951541848e-4,17,2022-04-25,0.0357689,after leafout
2026,-8.428792951541848e-4,29,2022-07-19,NA,after leafout
2026,-8.428792951541848e-4,19,2022-05-09,0.0159674,after leafout
2026,-8.428792951541848e-4,15,2022-04-13,0,before leafout
2027,-0.0014561757997218357,21,2022-05-23,0,after leafout
2027,-0.0014561757997218357,19,2022-05-09,0,after leafout
2027,-0.0014561757997218357,17,2022-04-25,0.0074579,after leafout
2027,-0.0014561757997218357,29,2022-07-19,NA,after leafout
2027,-0.0014561757997218357,37,2022-09-15,0,after leafout
2027,-0.0014561757997218357,15,2022-04-13,0.0079662,before leafout
2027,-0.0014561757997218357,14,2022-04-04,0.0697813,before leafout
2028,-0.002527696801112658,37,2022-09-15,0,after leafout
2028,-0.002527696801112658,17,2022-04-25,0.0630126,after leafout
2028,-0.002527696801112658,19,2022-05-09,0.0339499,after leafout
2028,-0.002527696801112658,15,2022-04-13,0.0272247,before leafout
2028,-0.002527696801112658,29,2022-07-19,NA,after leafout
2028,-0.002527696801112658,14,2022-04-04,0.0763207,before leafout
2028,-0.002527696801112658,21,2022-05-23,0.0171647,after leafout
2031,-7.606613351877608e-4,15,2022-04-13,0,before leafout
2031,-7.606613351877608e-4,21,2022-05-23,0.0019923,after leafout
2031,-7.606613351877608e-4,29,2022-07-19,NA,after leafout
2031,-7.606613351877608e-4,14,2022-04-04,0.0239987,before leafout
2031,-7.606613351877608e-4,37,2022-09-15,0,after leafout
2031,-7.606613351877608e-4,17,2022-04-25,0.0286719,after leafout
2031,-7.606613351877608e-4,19,2022-05-09,0.0120738,after leafout
2085,-0.0016768854988399066,17,2022-04-25,NA,after leafout
2085,-0.0016768854988399066,21,2022-05-23,0.0544908,after leafout
2085,-0.0016768854988399066,15,2022-04-11,0.0647904,before leafout
2085,-0.0016768854988399066,19,2022-05-09,0.0440244,after leafout
2085,-0.0016768854988399066,29,2022-07-19,NA,after leafout
2085,-0.0016768854988399066,37,2022-09-15,0.034095,after leafout
2085,-0.0016768854988399066,14,2022-04-04,0.0843665,before leafout
2086,-0.0012623607888631078,37,2022-09-15,0,after leafout
2086,-0.0012623607888631078,15,2022-04-11,0,before leafout
2086,-0.0012623607888631078,29,2022-07-19,NA,after leafout
2086,-0.0012623607888631078,19,2022-05-09,0.0020183,after leafout
2086,-0.0012623607888631078,21,2022-05-23,0.0067591,after leafout
2086,-0.0012623607888631078,14,2022-04-04,0.0596486,before leafout
2086,-0.0012623607888631078,17,2022-04-25,NA,after leafout
2087,-2.4818265661252884e-4,15,2022-04-11,0.0355636,before leafout
2087,-2.4818265661252884e-4,37,2022-09-15,0.0299489,after leafout
2087,-2.4818265661252884e-4,14,2022-04-04,0.0419294,before leafout
2087,-2.4818265661252884e-4,29,2022-07-19,NA,after leafout
2087,-2.4818265661252884e-4,17,2022-04-25,NA,after leafout
2087,-2.4818265661252884e-4,21,2022-05-23,0.0300274,after leafout
2087,-2.4818265661252884e-4,19,2022-05-09,0.0138066,after leafout
2088,-0.0025366124709976794,37,2022-09-15,0.0197244,after leafout
2088,-0.0025366124709976794,14,2022-04-04,0.0914801,before leafout
2088,-0.0025366124709976794,15,2022-04-11,0.0696453,before leafout
2088,-0.0025366124709976794,29,2022-07-19,NA,after leafout
2088,-0.0025366124709976794,19,2022-05-09,0.0373164,after leafout
