effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.771303972534017,0.26291585423872965,-10.540649899407175,9.638924987303893,1.3260831300242488e-6,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new_centered,11.292504261447643,18.81579948846917,0.6001607462052301,9.62197764070634,0.5622661540504779,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.3931472300222247,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0.694624271673577,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new_centered,-0.9999999994923332,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new_centered,32.07144882830426,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.4579708837803243,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,(Intercept),-2.128879925646517,0.3613965089788498,-5.890704178802975,6.991142636288063,6.079888264010736e-4,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new,28.33300202980305,24.36782018123737,1.1627220579877215,5.461100196103305,0.29321973247686317,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.33184638128695665,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,cor__(Intercept).lwa_g_cm2_new,-1,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__lwa_g_cm2_new,17.870591330676532,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__(Intercept),0.01113442138597436,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,cor__(Intercept).lwa_g_cm2_new,0.9538626841396696,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,week,sd__lwa_g_cm2_new,44.288832884055175,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,site,sd__(Intercept),0.4214843417335721,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,Residual,sd__Observation,0.980776262670274,NA,NA,NA,NA,hyd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,(Intercept),-2.128879925646517,0.3613965089788498,-5.890704178802975,6.991142636288063,6.079888264010736e-4,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
fixed,NA,lwa_g_cm2_new,28.33300202980305,24.36782018123737,1.1627220579877215,5.461100196103305,0.29321973247686317,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
ran_pars,tree,sd__(Intercept),0.33184638128695665,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwa_g_cm2_new
