effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),0.023771882314565528,0.024914468784800546,0.9541396415029297,8.802953854089555,0.3654771056180228,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,1.0280029039072438,0.533573239496994,1.9266387963465985,48.29414903720806,0.059920095917969984,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.021001732170314688,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,1,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,0.31120843417693317,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.02433408985509951,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,site,sd__(Intercept),0.012404839551770366,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.014320616481653815,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.03778566437534496,0.017167607109245742,2.2009860858823598,4.9113536320192575,0.07997257526566129,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,0.05618696199936204,0.37372706166604236,0.1503422357184559,32.92814485528357,0.8814117899497914,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.03596676689559475,0.0072137509280784775,4.985862036849558,24.768424503478975,3.962207369459584e-5,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.03557374571636753,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9999996300076115,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,0.33805005811439315,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.02064583158015588,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.03778566437534496,0.017167607109245742,2.2009860858823598,4.9113536320192575,0.07997257526566129,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,0.05618696199936204,0.37372706166604236,0.1503422357184559,32.92814485528357,0.8814117899497914,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.03596676689559475,0.0072137509280784775,4.985862036849558,24.768424503478975,3.962207369459584e-5,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.03557374571636753,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9999996300076115,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,0.33805005811439315,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.02064583158015588,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,63,0.014320616481653815,150.82120759367837,-285.64241518735673,-268.4973373762245,-301.64241518735673,55,NA,0.061758978687743445,0.9006491075486774,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,42,0.02064583158015588,87.1209733115689,-158.2419466231378,-144.34058967687085,NA,34,-174.2419466231378,0.2632243244000758,0.6707058124457893,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,42,0.01822770698744162,89.61325790851497,-161.22651581702993,-145.58748925247963,NA,33,-179.22651581702993,0.2544426842486155,0.7993307090841869,cw_area
