effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),0.39454137166002096,0.07495168441385806,5.263942695156733,13.963527172837606,1.208056253749696e-4,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,16.337734862818376,1.385341363608988,11.793291741651695,49.481594302307116,5.507142201690835e-16,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,6.3051693111093,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.16070123675190862,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,site,sd__(Intercept),0.12203602892551377,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.050591556527722875,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.41799560554371157,0.05656705876950562,7.389381994332118,11.86943433411382,8.93893323137025e-6,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,12.681239814848688,1.2178635466397154,10.412693482646969,105.83081580289779,6.663113590407094e-18,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.27572147320667256,0.08094271626497278,3.4063778179135373,7.984924715844404,0.009298778200653167,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.008816056083683223,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,0.9997795457880005,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,3.5893478399816643,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.12381738269679367,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.06058101457309915,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.41799560554371157,0.05656705876950562,7.389381994332118,11.86943433411382,8.93893323137025e-6,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,12.681239814848688,1.2178635466397154,10.412693482646969,105.83081580289779,6.663113590407094e-18,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.27572147320667256,0.08094271626497278,3.4063778179135373,7.984924715844404,0.009298778200653167,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.008816056083683223,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,0.9997795457880005,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,3.5893478399816643,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.12381738269679367,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.06058101457309915,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,384,0.050591556527722875,479.0478986673695,-942.095797334739,-910.4906569140372,-958.095797334739,376,NA,0.2921530048718513,0.97008548453815,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,246,0.06058101457309915,259.60778490679655,-503.2155698135931,-475.1729175261342,NA,238,-519.2155698135931,0.5576493627345038,0.9490609675520715,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,246,0.057677663245446306,265.0554739780166,-512.1109479560332,-480.5629641326419,NA,237,-530.1109479560332,0.5520711975410421,0.9521542740586004,cw_area
