effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),0.05435649198096268,0.06717038104858333,0.8092330448690985,22.1384535972242,0.4269932791199966,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,15.683471234327412,1.4459667196244315,10.846356988355142,16.160592051922922,7.905100686250224e-9,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.20157967293404105,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.8541493444826197,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,4.593317576437726,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.08667295229142559,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,site,sd__(Intercept),3.767929317693523e-5,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.025786268806214686,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.11823169786623826,0.070147349189138,1.685476347045569,18.879490210686228,0.10835434254653846,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,13.18392303957637,1.7491623050269738,7.537278274112511,13.471764063285045,3.4392858852426857e-6,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.04447887198296091,0.04132852582023401,1.0762269183379516,4.613546628446008,0.3348555000918747,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.2120534406335893,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9230493611259584,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,5.453098323916877,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.05558106153802699,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.038741860147580215,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.11823169786623826,0.070147349189138,1.685476347045569,18.879490210686228,0.10835434254653846,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,13.18392303957637,1.7491623050269738,7.537278274112511,13.471764063285045,3.4392858852426857e-6,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.04447887198296091,0.04132852582023401,1.0762269183379516,4.613546628446008,0.3348555000918747,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.2120534406335893,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9230493611259584,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,5.453098323916877,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.05558106153802699,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.038741860147580215,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,109,0.025786268806214686,173.9878251149933,-331.9756502299866,-310.44486717215347,-347.9756502299866,101,NA,0.7692519257924697,0.9942711411106258,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,68,0.038741860147580215,75.03816332013243,-134.07632664026485,-116.320264998856,NA,60,-150.07632664026485,0.7312739313246513,0.9808499017487556,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,68,0.0393285003947806,76.43616429632286,-134.87232859264572,-114.89675924606075,NA,59,-152.87232859264572,0.7241723912269773,0.97959522366303,cw_area
