effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-2.5798992487407744,0.1853977393364986,-13.91548385634969,11.926167967687698,9.831130917648713e-9,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.6246120343749607,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,cor__(Intercept).cw_area_centered,1,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__cw_area_centered,8.876190574482425,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,site,sd__(Intercept),0.2280370281286707,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.3792486568017078,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),-3.5430996179202427,0.3048320940922265,-11.623118715473192,9.839068239550846,4.570514426352757e-7,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,5.149422293175468,3.4988937933593296,1.4717286654852837,74.45130221628042,0.14530870973092908,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,1.1755829864075225,0.45791781136154236,2.567235772970093,8.04029162049542,0.03313594651956376,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.26129633734685387,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9999999368221381,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,3.474408751492561,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.703233361148278,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.34943253957210285,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),-3.5430996179202427,0.3048320940922265,-11.623118715473192,9.839068239550846,4.570514426352757e-7,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,5.149422293175468,3.4988937933593296,1.4717286654852837,74.45130221628042,0.14530870973092908,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,1.1755829864075225,0.45791781136154236,2.567235772970093,8.04029162049542,0.03313594651956376,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.26129633734685387,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9999999368221381,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,3.474408751492561,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.703233361148278,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.34943253957210285,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,376,0.33391695465706384,-185.00380850748945,384.0076170149789,411.51474101870815,370.0076170149789,369,NA,0.0030197733826646906,0.8768505039464153,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,246,0.34943253957210285,-125.91009919163389,267.8201983832678,295.8628506707267,NA,238,251.82019838326778,0.33965160598274174,0.8749987264902556,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,246,0.34734468739369667,-122.51602057772993,263.03204115545986,294.58002497885116,NA,237,245.03204115545986,0.34409865688944313,0.8745209418232024,cw_area
