effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),-4.312964984224937,1.0093914295422193,-4.272836937183982,5.479391026280268,0.0064457693514598565,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,47.25506946816848,25.900152005069998,1.8245093487836759,4.673209163201517,0.13173945254136377,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),2.7462389578300894,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,cor__(Intercept).cw_area,-0.9914760291551762,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__cw_area,68.96704770522254,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.40869372767155715,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),-3.39610661215957,0.5099137741298836,-6.660158608099347,16.832950404045615,4.229006587003811e-6,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,7.732069624485397,10.704701392841892,0.7223059607861403,21.997123242473286,0.4777157524380198,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.774689497277786,0.5607845046355707,1.381438843038687,6.742307066170829,0.2111852080125647,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.8017535574967323,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-1,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,15.800973396575943,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.7760164887552191,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.48316466962362364,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),-3.39610661215957,0.5099137741298836,-6.660158608099347,16.832950404045615,4.229006587003811e-6,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,7.732069624485397,10.704701392841892,0.7223059607861403,21.997123242473286,0.4777157524380198,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.774689497277786,0.5607845046355707,1.381438843038687,6.742307066170829,0.2111852080125647,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.8017535574967323,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-1,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,15.800973396575943,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.7760164887552191,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.48316466962362364,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,78,0.3047259747321074,-48.82794629182954,111.65589258365908,128.15285437048624,97.65589258365908,71,NA,2.5426658142895707e-4,0.9055932642680837,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,45,0.48316466962362364,-42.89151700770411,101.78303401540822,116.23633393357078,NA,37,85.78303401540822,0.1741063655218797,0.8019182121855152,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,45,0.49581893932087195,-38.144022994366594,94.28804598873319,110.54800839666606,NA,36,76.28804598873319,0.2343720967690674,0.7948157961994167,cw_area
