var,timeframe,date_wp,time,estimate,p.value
mpa,whole timeframe,2022-03-08,md,-185.1498694668373,0.04140413564101657
mpa,whole timeframe,2022-04-04,md,-117.31214282193255,0.007344927896130464
mpa,after leaf expansion,2022-03-08,md,-288.20689992616394,0.0025916458188278806
mpa,after leaf expansion,2022-03-25,pd,608.5663683470185,0.0176588489412992
mpa,after leaf expansion,2022-04-04,md,-183.20307737026516,0.013328050293646983
mpa,after leaf expansion,2022-09-15,md,-345.8563832464043,0.00383425860765008
mpa,before leaf expansion,2022-08-18,md,-24.10194945876597,0.031955097676438914
LMA,whole timeframe,2022-03-08,NA,-0.4146385894450635,0.035399693814065616
LMA,whole timeframe,2022-05-23,NA,0.41576297867265927,0.005529597131428131
LMA,after leaf expansion,2022-03-25,NA,4.453260098953947,1.0754735608129808e-8
LMA,after leaf expansion,2022-04-04,NA,-1.6969967709753697,1.1991198913477394e-5
LMA,after leaf expansion,2022-04-13,NA,-1.394237184147921,0.025555080507009643
LMA,before leaf expansion,2022-05-09,NA,-0.03185107269949346,0.03080363472111025
LMA,just May,2022-03-08,NA,0.1853901727685462,5.671545691917974e-4
LMA,just May,2022-05-09,NA,-0.16533930509047157,0.00969434571520286
