nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,mod,effect,group,term,estimate,std.error,statistic,df,p.value,R2m,R2c,var,
556,0.640084206,-568.644982,1149.289964,1175.214574,1137.289964,550,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,fixed,NA,(Intercept),-4.080133327,1.016182172,-4.01515933,7.138078437,0.004889747,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,fixed,NA,lwc_mean,3.818137816,1.527001785,2.50041477,5.738743773,0.048294364,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,tree,sd__(Intercept),4.06E-05,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,tree,cor__(Intercept).lwc_mean,-0.912667428,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,tree,sd__lwc_mean,3.78E-05,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,week,sd__(Intercept),2.867782692,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,week,cor__(Intercept).lwc_mean,-0.999944256,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,week,sd__lwc_mean,4.451002865,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,site,sd__(Intercept),0.381924515,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,hyd,ran_pars,Residual,sd__Observation,0.911943669,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,fixed,NA,(Intercept),-4.080133327,1.016182172,-4.01515933,7.138078437,0.004889747,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,fixed,NA,lwc_mean,3.818137816,1.527001785,2.50041477,5.738743773,0.048294364,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,tree,sd__(Intercept),4.06E-05,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,tree,cor__(Intercept).lwc_mean,-0.912667428,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,tree,sd__lwc_mean,3.78E-05,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,week,sd__(Intercept),2.867782692,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,week,cor__(Intercept).lwc_mean,-0.999944256,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,week,sd__lwc_mean,4.451002865,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,site,sd__(Intercept),0.381924515,NA,NA,NA,NA,NA,NA,lwc_mean,
NA,NA,NA,NA,NA,NA,NA,time,ran_pars,Residual,sd__Observation,0.911943669,NA,NA,NA,NA,NA,NA,lwc_mean,
281,0.367065896,-144.7022077,301.4044153,323.2345433,289.4044153,275,space,NA,NA,NA,NA,NA,NA,NA,NA,0.328341835,0.80872635,lwc_mean,space
388,0.382112506,-207.0292431,426.0584863,449.8245183,414.0584863,382,lma_space,NA,NA,NA,NA,NA,NA,NA,NA,0.5119218,0.858869805,lwc_mean,lma_space
188,0.911943669,-262.2286002,544.4572003,576.82162,524.4572003,178,hyd,NA,NA,NA,NA,NA,NA,NA,NA,0.225348862,0.613886338,lwc_mean,hyd
283,0.348946951,-134.1667165,286.333433,319.1424551,268.333433,274,time,NA,NA,NA,NA,NA,NA,NA,NA,0.5119218,0.858869805,lwc_mean,time
283,0.351162663,-142.9511047,301.9022095,331.0657847,285.9022095,275,interaction,NA,NA,NA,NA,NA,NA,NA,NA,0.667058992,0.846394682,lwc_mean,interaction
775,0.762411578,-909.379804,1836.759608,1878.635375,1818.759608,766,lma_time_interaction,NA,NA,NA,NA,NA,NA,NA,NA,0.311052737,0.579284002,lwc_mean,lma_time_interaction
