effect,group,term,estimate,std.error,statistic,df,p.value,mod,nobs,sigma,logLik,AIC,BIC,deviance,df.residual,REMLcrit,R2m,R2c,var
fixed,NA,(Intercept),0.3517388101437563,0.10730894925051389,3.2778143165172393,10.985451754760344,0.007374612662629506,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,9.186155009992156,2.873923419690142,3.196381276917455,9.579700559210771,0.010071643875886323,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0.29822176620428603,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,-0.9443806790045831,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,8.810786213133873,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.07566222972681008,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,site,sd__(Intercept),0.07081259428992648,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.022773274667056406,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.43005092505156456,0.03900330840635119,11.02601144936557,16.67013506685837,4.485010326310891e-9,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,5.046990218488403,1.5110663034966387,3.3400190361002444,28.74441902543037,0.0023315480511544836,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.10620679548457186,0.038387482014092617,2.7667038813741875,9.459975558649715,0.02090457719114831,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,NA,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,2.6744154651181082,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.036196795101309215,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.06314733166875404,NA,NA,NA,NA,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,(Intercept),0.43005092505156456,0.03900330840635119,11.02601144936557,16.67013506685837,4.485010326310891e-9,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,cw_area,5.046990218488403,1.5110663034966387,3.3400190361002444,28.74441902543037,0.0023315480511544836,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
fixed,NA,time_seasonbefore leafout,0.10620679548457186,0.038387482014092617,2.7667038813741875,9.459975558649715,0.02090457719114831,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__(Intercept),0,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,cor__(Intercept).cw_area,NA,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,tree,sd__cw_area,2.6744154651181082,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,week,sd__(Intercept),0.036196795101309215,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
ran_pars,Residual,sd__Observation,0.06314733166875404,NA,NA,NA,NA,interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,space,78,0.022773274667056406,120.87107804694928,-225.74215609389856,-206.88848548038183,-241.74215609389856,70,NA,0.2947012777706641,0.9883135131804852,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,time,45,0.06314733166875404,41.37437631498652,-66.74875262997304,-52.29545271181048,NA,37,-82.74875262997304,0.447526425311549,0.8325859528362253,cw_area
NA,NA,NA,NA,NA,NA,NA,NA,interaction,45,0.06170130114239386,44.81205672067438,-71.62411344134875,-55.36415103341588,NA,36,-89.62411344134875,0.4967499609599329,0.8443645312165363,cw_area
