model,AIC,delta_AIC,(Intercept),cwc,sd__(Intercept),sd__Observation,lma_g_cm2,time_seasonbefore leafout,lwa_g_cm2,lwc_mean,lai
water_potential ~ lai + cwc + lma_g_cm2 + time_season + (1 | ,61.03203072689517,0,-2.1499546437395467,2.961654819190425,0.09292672715883245,0.3077193111555396,15.947556832164251,0.5606303007013703,NA,NA,0.16697387263380914
    tree),61.03203072689517,0,-2.1499546437395467,2.961654819190425,0.09292672715883245,0.3077193111555396,15.947556832164251,0.5606303007013703,NA,NA,0.16697387263380914
water_potential ~ cwc + lma_g_cm2 + time_season + lai + (1 | ,61.03203072689519,1.4210854715202004e-14,-2.1499546437433437,2.961654819216008,0.09292672715378367,0.30771931115679035,15.947556832303242,0.5606303007011084,NA,NA,0.16697387263399147
    tree),61.03203072689519,1.4210854715202004e-14,-2.1499546437433437,2.961654819216008,0.09292672715378367,0.30771931115679035,15.947556832303242,0.5606303007011084,NA,NA,0.16697387263399147
water_potential ~ lwa_g_cm2 + lma_g_cm2 + time_season + (1 | ,61.4068575073723,0.3748267804771288,-1.540617640542638,NA,0.15184724314218095,0.31204945123373534,22.57595657532027,0.7839489988658136,-16.704961882846213,NA,NA
    tree),61.4068575073723,0.3748267804771288,-1.540617640542638,NA,0.15184724314218095,0.31204945123373534,22.57595657532027,0.7839489988658136,-16.704961882846213,NA,NA
water_potential ~ lwc_mean + lma_g_cm2 + time_season,66.65822381025153,5.626193083356355,-0.8398915673438292,NA,0.1649622688431959,0.2973761137052463,-16.30883465304499,0.8401797529303233,NA,-0.3860979670552904,NA
water_potential ~ lwa_g_cm2 + time_season,68.51568387869739,7.483653151802216,-1.2375943510285141,NA,0.15936425196729412,0.31022652236090514,NA,0.7222167121635704,-14.386931051245167,NA,NA
water_potential ~ lai + time_season,71.17694390469134,10.14491317779617,-1.8712071121116824,NA,0.11644482699770513,0.30489634695580403,NA,0.6273953680640982,NA,NA,0.1814363139776741
water_potential ~ lwc_mean + time_season,73.23651425189995,12.204483525004775,-1.1430063455404975,NA,0.15740356258100813,0.29899215363659815,NA,0.8379111465966693,NA,-0.31718166779594525,NA
water_potential ~ time_season,75.07680143695076,14.044770710055587,-1.4269170669308016,NA,0.16045479229549833,0.3085370989733779,NA,0.6498325692226228,NA,NA,NA
