date_wp,time,blue oak,live oak
2022-03-08,md,20,11
2022-03-08,pd,15,3
2022-03-15,md,9,NA
2022-03-15,pd,12,5
2022-03-25,md,9,6
2022-03-25,pd,14,7
2022-03-30,pd,19,7
2022-04-04,md,9,NA
2022-04-04,pd,21,4
2022-04-06,md,18,6
2022-04-11,md,5,NA
2022-04-11,pd,20,NA
2022-04-13,md,31,3
2022-04-25,md,36,NA
2022-04-25,pd,36,NA
2022-05-09,md,37,2
2022-05-09,pd,23,1
2022-05-23,md,31,13
2022-05-23,pd,39,16
2022-07-19,md,36,6
2022-07-19,pd,33,6
2022-08-18,md,15,8
2022-08-18,pd,16,5
2022-09-15,md,34,16
2022-09-15,pd,30,13
